analysis,metric,estimate,ci_low,ci_high,bootstrap_reps,bootstrap,dataset,protocol,model
AOPP | exact_overlap_only | Length LR,AUC,0.5967504528985506,0.5465916238929146,0.6447238891404992,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,AUPRC,0.7130897797755386,0.6819701193191255,0.7487042144201673,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,ACC,0.4603960396039604,0.42574257425742573,0.4966996699669967,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,Balanced_ACC,0.5352506038647343,0.4970721995772947,0.5732799290458938,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,F1,0.4559068219633943,0.40672268907563025,0.5040665346408997,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,Precision,0.732620320855615,0.679144385026738,0.7851375979588118,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,Recall,0.3309178743961353,0.28743961352657005,0.37681159420289856,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,Sensitivity,0.3309178743961353,0.28743961352657005,0.37681159420289856,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,Specificity,0.7395833333333334,0.6770833333333334,0.796875,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,MCC,0.07101000233836803,-0.005808814579229386,0.14663135565874844,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,Brier,0.24983927411591755,0.24870403093599155,0.25098996895849035,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | Length LR,LogLoss,0.6928239018618498,0.690551378481714,0.695127487577432,2500,class-stratified percentile,AOPP,exact_overlap_only,Length LR
AOPP | exact_overlap_only | AAC plus DPC plus length RF,AUC,0.8120156501610306,0.7783299051429146,0.844305744263285,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,AUPRC,0.9232156541323693,0.9087967130331801,0.9366543277501617,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,ACC,0.731023102310231,0.698019801980198,0.7632425742574259,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,Balanced_ACC,0.7905721618357489,0.7624075332125604,0.8181848203502415,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,F1,0.7613469985358712,0.723404255319149,0.794306990881459,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,Precision,0.966542750929368,0.9450980392156862,0.9853479853479854,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,Recall,0.6280193236714976,0.5797101449275363,0.6739130434782609,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,Sensitivity,0.6280193236714976,0.5797101449275363,0.6739130434782609,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,Specificity,0.953125,0.921875,0.9791666666666666,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,MCC,0.5441814013225535,0.4951434178340972,0.593459775826399,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,Brier,0.19813891089109573,0.1784544638613944,0.2189140955445622,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | AAC plus DPC plus length RF,LogLoss,0.5978635058329329,0.5436053884811526,0.6560601527046027,2500,class-stratified percentile,AOPP,exact_overlap_only,AAC plus DPC plus length RF
AOPP | exact_overlap_only | Molecular ECFP4 branch,AUC,0.7974537037037037,0.7633466686795491,0.8311006063808374,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,AUPRC,0.9160613217556227,0.9010768464564313,0.9306746432691717,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,ACC,0.7128712871287128,0.6782178217821783,0.7475247524752475,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,Balanced_ACC,0.7633227657004831,0.7295818236714975,0.7943699048913043,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,F1,0.7485549132947977,0.7117368839427662,0.7844605745293838,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,Precision,0.9316546762589928,0.9032827677179518,0.9581749049429658,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,Recall,0.6256038647342995,0.5797101449275363,0.6714975845410628,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,Sensitivity,0.6256038647342995,0.5797101449275363,0.6714975845410628,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,Specificity,0.9010416666666666,0.859375,0.9427083333333334,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,MCC,0.4917109373821711,0.4299591458949335,0.5492476258192504,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,Brier,0.26072989309199074,0.23014201843704363,0.29340800555623897,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Molecular ECFP4 branch,LogLoss,2.113528636320482,1.812482856490328,2.4239483406528772,2500,class-stratified percentile,AOPP,exact_overlap_only,Molecular ECFP4 branch
AOPP | exact_overlap_only | Contextual peptide-adapted ESM-2 branch,AUC,0.7163471215780999,0.6762583660426731,0.7562094278381644,2500,class-stratified percentile,AOPP,exact_overlap_only,Contextual peptide-adapted ESM-2 branch
AOPP | exact_overlap_only | Contextual peptide-adapted ESM-2 branch,AUPRC,0.8733574124487148,0.8532348709417693,0.89345118730947,2500,class-stratified percentile,AOPP,exact_overlap_only,Contextual peptide-adapted ESM-2 branch
AOPP | exact_overlap_only | Contextual peptide-adapted ESM-2 branch,ACC,0.6534653465346535,0.6162953795379538,0.6897689768976898,2500,class-stratified percentile,AOPP,exact_overlap_only,Contextual peptide-adapted ESM-2 branch
AOPP | exact_overlap_only | Contextual peptide-adapted ESM-2 branch,Balanced_ACC,0.6821407004830917,0.6440217391304348,0.7210541213768116,2500,class-stratified percentile,AOPP,exact_overlap_only,Contextual peptide-adapted ESM-2 branch
AOPP | exact_overlap_only | Contextual peptide-adapted ESM-2 branch,F1,0.704225352112676,0.6676096181046676,0.739612188365651,2500,class-stratified percentile,AOPP,exact_overlap_only,Contextual peptide-adapted ESM-2 branch
AOPP | exact_overlap_only | Contextual peptide-adapted ESM-2 branch,Precision,0.8445945945945946,0.810505724028742,0.8797952108605637,2500,class-stratified percentile,AOPP,exact_overlap_only,Contextual peptide-adapted ESM-2 branch
