comparison,first,second,metric,first_estimate,second_estimate,delta_first_minus_second,ci_low,ci_high,bootstrap_reps,bootstrap_unit,bootstrap
five-seed mean released-test predictions,Nested logistic fusion,Molecular branch,AUC,0.9828947368421053,0.9702192982456139,0.01267543859649134,0.001906798245614036,0.024540570175438745,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Molecular branch,AUPRC,0.9838707431542792,0.9737496894481643,0.010121053706114935,-0.0002581007604424062,0.021578026333647596,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Molecular branch,Brier,0.048893530718306585,0.07505326173087254,-0.026159731012565954,-0.04704267113221935,-0.0071525364202881915,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Molecular branch,LogLoss,0.1686231712029791,0.4647399099776161,-0.296116738774637,-0.4869836632634641,-0.13178922715347952,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Contextual branch,AUC,0.9828947368421053,0.9792105263157895,0.0036842105263157343,-0.0006809210526315972,0.00881578947368417,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Contextual branch,AUPRC,0.9838707431542792,0.9788028941206133,0.005067849033665972,-9.95488850547954e-05,0.012107251013586732,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Contextual branch,Brier,0.048893530718306585,0.05796345941912792,-0.009069928700821336,-0.020405898859245382,0.0015022961828834304,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Contextual branch,LogLoss,0.1686231712029791,0.31900967667931296,-0.15038650547633386,-0.26493002809688093,-0.05121058718143059,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal probability mean,AUC,0.9828947368421053,0.9814473684210526,0.0014473684210526416,-0.004058114035087687,0.006821271929824603,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal probability mean,AUPRC,0.9838707431542792,0.9833841176768764,0.0004866254774028578,-0.006040108396243407,0.006112454481028362,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal probability mean,Brier,0.048893530718306585,0.05174254025430952,-0.002849009536002936,-0.009887568104050812,0.0039874526616061,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal probability mean,LogLoss,0.1686231712029791,0.219308213290163,-0.05068504208718391,-0.13539731985785833,0.008871829766849108,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal logit mean,AUC,0.9828947368421053,0.9829824561403508,-8.7719298245581e-05,-0.0039473684210526465,0.003201754385964928,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal logit mean,AUPRC,0.9838707431542792,0.9844513079699975,-0.0005805648157182208,-0.005132855839468315,0.0030874535185272784,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal logit mean,Brier,0.048893530718306585,0.05827522076357034,-0.009381690045263756,-0.01955963777621141,-0.0002064860753302125,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Equal logit mean,LogLoss,0.1686231712029791,0.2910533111294092,-0.12243013992643009,-0.22372229155623738,-0.039524268758641894,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Learned convex probability mean,AUC,0.9828947368421053,0.9820614035087719,0.0008333333333333526,-0.004517543859649087,0.0055263157894737125,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Learned convex probability mean,AUPRC,0.9838707431542792,0.9839742357311272,-0.00010349257684794111,-0.006764887535973363,0.005056372484695646,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Learned convex probability mean,Brier,0.048893530718306585,0.05065013860973788,-0.0017566078914312971,-0.007562324886196412,0.004171220582014007,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Learned convex probability mean,LogLoss,0.1686231712029791,0.2174761938373401,-0.048853022634361004,-0.12427712114981783,0.010291738380410594,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Feature concatenation LR,AUC,0.9828947368421053,0.9814912280701754,0.0014035087719298511,-0.0021491228070175117,0.005131578947368376,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Feature concatenation LR,AUPRC,0.9838707431542792,0.9830602571058238,0.000810486048455461,-0.0026969909938914212,0.00420962240008299,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Feature concatenation LR,Brier,0.048893530718306585,0.05381957332268809,-0.004926042604381502,-0.012599455793799851,0.002398440493408449,2500,peptide,class-stratified paired percentile
five-seed mean released-test predictions,Nested logistic fusion,Feature concatenation LR,LogLoss,0.1686231712029791,0.217642502361988,-0.049019331159008916,-0.10080605302120225,-0.0026222161149430726,2500,peptide,class-stratified paired percentile
