model,metric,original_estimate,shuffled_estimate,delta_original_minus_shuffled,ci_low,ci_high,bootstrap_reps,bootstrap_unit,bootstrap
Molecular ECFP4 branch,AUC,0.9700194277640409,0.9455581066760862,0.024461321087954735,0.010662089367714688,0.04048922642175923,2500,original peptide,class-stratified paired percentile
Molecular ECFP4 branch,AUPRC,0.9734081400865571,0.9525820690030301,0.020826071083526965,0.009333704555736766,0.03416021452805905,2500,original peptide,class-stratified paired percentile
Molecular ECFP4 branch,ACC,0.9102990033222591,0.8604651162790697,0.04983388704318936,0.01661129568106312,0.0830564784053156,2500,original peptide,class-stratified paired percentile
Molecular ECFP4 branch,F1,0.9072164948453608,0.8531468531468531,0.0540696416985077,0.01792108125948275,0.09096486215238578,2500,original peptide,class-stratified paired percentile
Molecular ECFP4 branch,MCC,0.8213869123183466,0.722986514916483,0.09840039740186357,0.031863520704429,0.16593234365677156,2500,original peptide,class-stratified paired percentile
Molecular ECFP4 branch,Brier,0.07530260811535716,0.1032179963133608,-0.02791538819800364,-0.048891160120603586,-0.007346730577030454,2500,original peptide,class-stratified paired percentile
Molecular ECFP4 branch,LogLoss,0.4662838930672585,0.44306964516570496,0.02321424790155352,-0.09974015425358912,0.14786863717248908,2500,original peptide,class-stratified paired percentile
Contextual peptide-adapted ESM-2 branch,AUC,0.9790709996467679,0.9278523489932886,0.0512186506534793,0.029051130342635036,0.07572633345107736,2500,original peptide,class-stratified paired percentile
Contextual peptide-adapted ESM-2 branch,AUPRC,0.9785026343961294,0.9359401500811602,0.04256248431496923,0.022068941654116096,0.06323808221235516,2500,original peptide,class-stratified paired percentile
Contextual peptide-adapted ESM-2 branch,ACC,0.9368770764119602,0.7840531561461794,0.15282392026578073,0.1129568106312292,0.19443521594684415,2500,original peptide,class-stratified paired percentile
Contextual peptide-adapted ESM-2 branch,F1,0.9372937293729373,0.8137535816618912,0.12354014771104616,0.09051873675724165,0.1572724277823708,2500,original peptide,class-stratified paired percentile
Contextual peptide-adapted ESM-2 branch,MCC,0.8742657988179927,0.6050771917181966,0.2691886070997961,0.19460102720819591,0.34752061323779665,2500,original peptide,class-stratified paired percentile
Contextual peptide-adapted ESM-2 branch,Brier,0.05815607883688911,0.1468268076580597,-0.08867072882117058,-0.11687258997631156,-0.06093073075299421,2500,original peptide,class-stratified paired percentile
Contextual peptide-adapted ESM-2 branch,LogLoss,0.3200689160862105,0.4523908406587217,-0.13232192457251118,-0.27397326432749763,0.024973870867596774,2500,original peptide,class-stratified paired percentile
Frozen-coefficient logistic fusion,AUC,0.9827357824090427,0.9430413281525963,0.039694454256446354,0.02238608265630526,0.06000529848110204,2500,original peptide,class-stratified paired percentile
Frozen-coefficient logistic fusion,AUPRC,0.9835819692203479,0.9509914237480762,0.03259054547227169,0.018267547894332006,0.04894441748018572,2500,original peptide,class-stratified paired percentile
Frozen-coefficient logistic fusion,ACC,0.9401993355481728,0.8205980066445183,0.11960132890365449,0.07973421926910296,0.1612126245847179,2500,original peptide,class-stratified paired percentile
Frozen-coefficient logistic fusion,F1,0.94,0.8363636363636363,0.10363636363636364,0.06734182553908222,0.13990213128335152,2500,original peptide,class-stratified paired percentile
Frozen-coefficient logistic fusion,MCC,0.8804803752676724,0.6568782841106812,0.22360209115699126,0.1456552208258228,0.3036289646821975,2500,original peptide,class-stratified paired percentile
Frozen-coefficient logistic fusion,Brier,0.04930518499946932,0.11528534818971621,-0.06598016319024688,-0.0863906841780535,-0.04629044566331488,2500,original peptide,class-stratified paired percentile
Frozen-coefficient logistic fusion,LogLoss,0.1703572478639308,0.3438302645859865,-0.17347301672205567,-0.23210026900183733,-0.11685067378803697,2500,original peptide,class-stratified paired percentile
Equal probability mean,AUC,0.9813228541151536,0.9444542564464854,0.036868597668668235,0.02019935535146595,0.05660985517484987,2500,original peptide,class-stratified paired percentile
Equal probability mean,AUPRC,0.9831687302815689,0.9524139120639527,0.030754818217616275,0.01729279451644588,0.04610704052983484,2500,original peptide,class-stratified paired percentile
Equal probability mean,ACC,0.9302325581395349,0.8637873754152824,0.06644518272425248,0.03322259136212624,0.09966777408637884,2500,original peptide,class-stratified paired percentile
Equal probability mean,F1,0.9292929292929293,0.8664495114006515,0.06284341789227776,0.030299669294592317,0.09638123263119276,2500,original peptide,class-stratified paired percentile
Equal probability mean,MCC,0.8604610119222961,0.7290133834423356,0.1314476284799605,0.06531002372935706,0.19941592786800932,2500,original peptide,class-stratified paired percentile
Equal probability mean,Brier,0.05191464308703314,0.10062212858398879,-0.04870748549695565,-0.06658401552084595,-0.030703674739437904,2500,original peptide,class-stratified paired percentile
Equal probability mean,LogLoss,0.22003813071380873,0.30282572369303085,-0.08278759297922211,-0.1693569433109053,0.01868953076043351,2500,original peptide,class-stratified paired percentile
Equal logit mean,AUC,0.9828682444365948,0.9457347227128223,0.03713352172377249,0.020929000353232027,0.05612195337336627,2500,original peptide,class-stratified paired percentile
Equal logit mean,AUPRC,0.9842485180433677,0.9529853011097197,0.031263216933647975,0.017942606761630498,0.046696225769007886,2500,original peptide,class-stratified paired percentile
Equal logit mean,ACC,0.9302325581395349,0.8604651162790697,0.06976744186046513,0.03654485049833889,0.10631229235880402,2500,original peptide,class-stratified paired percentile
Equal logit mean,F1,0.9292929292929293,0.8627450980392157,0.06654783125371355,0.03407412344269804,0.10151722923804246,2500,original peptide,class-stratified paired percentile
Equal logit mean,MCC,0.8604610119222961,0.722070283811947,0.13839072811034903,0.0729077227064443,0.20952519164947228,2500,original peptide,class-stratified paired percentile
Equal logit mean,Brier,0.05846832856890405,0.10306498685749542,-0.04459665828859137,-0.06790985232681454,-0.022447776276433084,2500,original peptide,class-stratified paired percentile
