comparison,first,second,metric,first_estimate,second_estimate,delta_first_minus_second,ci_low,ci_high,bootstrap_reps,bootstrap_unit,bootstrap
original versus within-peptide mean of unique non-original composition-preserving shuffles,AAC plus DPC plus length LR: original,AAC plus DPC plus length LR: shuffled mean,AUC,0.9246732603320381,0.8998587071706111,0.024814553161427,-0.00636038502296008,0.05605461850936066,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,AAC plus DPC plus length LR: original,AAC plus DPC plus length LR: shuffled mean,AUPRC,0.9325316839210932,0.9085314517522829,0.02400023216881031,-0.0021641824687701925,0.05053290546156213,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,AAC plus DPC plus length LR: original,AAC plus DPC plus length LR: shuffled mean,ACC,0.840531561461794,0.7940199335548173,0.046511627906976716,-0.0033222591362126463,0.09966777408637872,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,AAC plus DPC plus length LR: original,AAC plus DPC plus length LR: shuffled mean,F1,0.8333333333333334,0.7973856209150327,0.03594771241830064,-0.01798333377502454,0.08932080087441373,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,AAC plus DPC plus length LR: original,AAC plus DPC plus length LR: shuffled mean,MCC,0.6823302407964748,0.5890491959685074,0.0932810448279674,-0.007697360554750851,0.19611851570094652,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,AAC plus DPC plus length LR: original,AAC plus DPC plus length LR: shuffled mean,Brier,0.11848799427104734,0.13199200171051323,-0.013504007439465893,-0.04111050349492879,0.014698667415512165,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,AAC plus DPC plus length LR: original,AAC plus DPC plus length LR: shuffled mean,LogLoss,0.47215309639768394,0.40017124791171693,0.071981848485967,-0.05289176888379969,0.2287968421276737,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,Character 1-3-mer LR: original,Character 1-3-mer LR: shuffled mean,AUC,0.9640144825150123,0.9264394206993996,0.037575061815612765,0.019030377958318634,0.058857294242317226,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,Character 1-3-mer LR: original,Character 1-3-mer LR: shuffled mean,AUPRC,0.9692087255129939,0.9386412943408627,0.03056743117213112,0.016045540706674723,0.046412739081122326,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,Character 1-3-mer LR: original,Character 1-3-mer LR: shuffled mean,ACC,0.9136212624584718,0.8504983388704319,0.06312292358803984,0.029900332225913595,0.09966777408637872,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,Character 1-3-mer LR: original,Character 1-3-mer LR: shuffled mean,F1,0.9121621621621622,0.8442906574394463,0.06787150472271586,0.0321927722130413,0.10486852890021911,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,Character 1-3-mer LR: original,Character 1-3-mer LR: shuffled mean,MCC,0.8272755578631359,0.7020467957612494,0.1252287621018865,0.058143757294732916,0.19713917624327254,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,Character 1-3-mer LR: original,Character 1-3-mer LR: shuffled mean,Brier,0.07183800987069879,0.10765917478987258,-0.035821164919173795,-0.05323901716516359,-0.01781146728985036,2500,peptide,class-stratified paired percentile
original versus within-peptide mean of unique non-original composition-preserving shuffles,Character 1-3-mer LR: original,Character 1-3-mer LR: shuffled mean,LogLoss,0.2483517953640559,0.33800338543967134,-0.08965159007561543,-0.14540752052720457,-0.03513941757816873,2500,peptide,class-stratified paired percentile
