model,metric,n_original_peptides,n_individual_shuffles,original_estimate,shuffled_estimate,delta_original_minus_shuffled
AAC plus DPC plus length LR,AUC,301,2719,0.9246732603320381,0.8998587071706111,0.024814553161427
AAC plus DPC plus length LR,AUPRC,301,2719,0.9325316839210932,0.9085314517522829,0.02400023216881031
AAC plus DPC plus length LR,ACC,301,2719,0.840531561461794,0.7940199335548173,0.046511627906976716
AAC plus DPC plus length LR,F1,301,2719,0.8333333333333334,0.7973856209150327,0.03594771241830064
AAC plus DPC plus length LR,MCC,301,2719,0.6823302407964748,0.5890491959685074,0.0932810448279674
AAC plus DPC plus length LR,Brier,301,2719,0.11848799427104734,0.13199200171051323,-0.013504007439465893
AAC plus DPC plus length LR,LogLoss,301,2719,0.47215309639768394,0.40017124791171693,0.071981848485967
Character 1-3-mer LR,AUC,301,2719,0.9640144825150123,0.9264394206993996,0.037575061815612765
Character 1-3-mer LR,AUPRC,301,2719,0.9692087255129939,0.9386412943408627,0.03056743117213112
Character 1-3-mer LR,ACC,301,2719,0.9136212624584718,0.8504983388704319,0.06312292358803984
Character 1-3-mer LR,F1,301,2719,0.9121621621621622,0.8442906574394463,0.06787150472271586
Character 1-3-mer LR,MCC,301,2719,0.8272755578631359,0.7020467957612494,0.1252287621018865
Character 1-3-mer LR,Brier,301,2719,0.07183800987069879,0.10765917478987258,-0.035821164919173795
Character 1-3-mer LR,LogLoss,301,2719,0.2483517953640559,0.33800338543967134,-0.08965159007561543
