evaluation,model,metric,estimate,ci_low,ci_high,bootstrap_reps,bootstrap_unit,bootstrap
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Molecular branch,AUC,0.9536138318431471,0.9469888023516839,0.960224364979408,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Molecular branch,AUPRC,0.9600196173073977,0.9544304453247935,0.9656363658011373,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Molecular branch,ACC,0.889693776753375,0.878827790582812,0.9005597629239381,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Molecular branch,F1,0.8885932823412038,0.8774856418363967,0.8996548011168343,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Molecular branch,MCC,0.7793893722516743,0.757653077688876,0.801173705509313,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Molecular branch,Brier,0.097433224630833,0.0877209240023372,0.10696799003528652,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Molecular branch,LogLoss,0.6232646314893167,0.5491655441970507,0.694683772323386,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Contextual branch,AUC,0.9789973076028993,0.9750466875882575,0.982552622745204,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Contextual branch,AUPRC,0.9788650538699737,0.974907075038035,0.9825416294166609,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Contextual branch,ACC,0.9206453737240698,0.9110964767863022,0.9300378663154429,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Contextual branch,F1,0.9203832177073009,0.9108540255994294,0.9298422171832789,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Contextual branch,MCC,0.8413051974520853,0.822461104043074,0.8601881486545093,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Contextual branch,Brier,0.06681570961585256,0.05917771120700351,0.07477365385558267,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Contextual branch,LogLoss,0.31187808096457126,0.2684114156642507,0.35803681469350457,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal probability mean,AUC,0.9756036208577504,0.9711691348419084,0.9797768472064645,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal probability mean,AUPRC,0.9775273923235808,0.9735270975136701,0.9814187789586498,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal probability mean,ACC,0.9239380968060587,0.914389199868291,0.9334869937438262,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal probability mean,F1,0.9220910623946037,0.9119258422488788,0.9319223399137937,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal probability mean,MCC,0.8483541725359032,0.8291856934956829,0.8671928747466706,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal probability mean,Brier,0.06246716991986651,0.05605953377077954,0.06908855109688097,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal probability mean,LogLoss,0.2545052410235503,0.21992607457707475,0.2906842988773395,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal logit mean,AUC,0.9784799059048849,0.9744538983377223,0.9822184042342803,2500,peptide,class-stratified percentile
whole-pool 60% identity / 80% reciprocal-coverage cluster-disjoint OOF,Equal logit mean,AUPRC,0.9798885306911467,0.9761134054603295,0.9834114520128995,2500,peptide,class-stratified percentile
