metric,estimate,ci_low,ci_high,evaluation
AUC,0.9846287454865924,0.9810600251125143,0.987718798663518,Similarity-grouped development OOF
AUPRC,0.9853541548361047,0.9820651484175409,0.988304825251555,Similarity-grouped development OOF
ACC,0.9330895795246801,0.9228519195612431,0.9425959780621572,Similarity-grouped development OOF
F1,0.9324972334931759,0.9222797927461139,0.9420246962368594,Similarity-grouped development OOF
MCC,0.8661810800760744,0.845756681295829,0.885189617426033,Similarity-grouped development OOF
AUC,0.9828508771929825,0.970016447368421,0.9925230263157894,Released independent test
AUPRC,0.9837982793861633,0.9717422487767297,0.9930064612916811,Released independent test
ACC,0.9403973509933775,0.9139072847682119,0.9668874172185431,Released independent test
F1,0.9403973509933775,0.912621359223301,0.9666666666666667,Released independent test
MCC,0.8808771929824561,0.8278070175438597,0.9338596491228071,Released independent test
