evaluation,scheme,bin,lower_bound,upper_bound,n,mean_probability,observed_rate
Similarity-grouped development OOF,equal_width,1,0.0,0.1,1132,0.01807333822549576,0.018551236749116608
Similarity-grouped development OOF,equal_width,2,0.1,0.2,91,0.14545410367374123,0.10989010989010989
Similarity-grouped development OOF,equal_width,3,0.2,0.30000000000000004,47,0.24263492864760325,0.3191489361702128
Similarity-grouped development OOF,equal_width,4,0.30000000000000004,0.4,63,0.34981551360876234,0.4444444444444444
Similarity-grouped development OOF,equal_width,5,0.4,0.5,50,0.4497148700897248,0.42
Similarity-grouped development OOF,equal_width,6,0.5,0.6000000000000001,48,0.5475472650701542,0.5833333333333334
Similarity-grouped development OOF,equal_width,7,0.6000000000000001,0.7000000000000001,66,0.652138486098976,0.6515151515151515
Similarity-grouped development OOF,equal_width,8,0.7000000000000001,0.8,51,0.751866641586509,0.7647058823529411
Similarity-grouped development OOF,equal_width,9,0.8,0.9,99,0.8590294182220414,0.8080808080808081
Similarity-grouped development OOF,equal_width,10,0.9,1.0,1088,0.9848826398529373,0.9871323529411765
Similarity-grouped development OOF,equal_frequency,1,0.003096295257489376,0.006695278068363185,274,0.00419499691661724,0.0
Similarity-grouped development OOF,equal_frequency,2,0.006695278068363185,0.00721924797813113,274,0.0067810387881822596,0.0
Similarity-grouped development OOF,equal_frequency,3,0.007230866248149936,0.01802705354730694,274,0.011285481321795658,0.010948905109489052
Similarity-grouped development OOF,equal_frequency,4,0.018075407432769024,0.08208254729372354,274,0.040545116680140554,0.058394160583941604
Similarity-grouped development OOF,equal_frequency,5,0.08263651395078257,0.47792497228651276,274,0.24119462733920596,0.25547445255474455
Similarity-grouped development OOF,equal_frequency,6,0.47867332968205495,0.8986029490616837,273,0.7159072215372851,0.7032967032967034
Similarity-grouped development OOF,equal_frequency,7,0.8989894482713092,0.9835462985586313,273,0.9531734480676722,0.9487179487179487
Similarity-grouped development OOF,equal_frequency,8,0.9835955953715496,0.9958028785220537,273,0.9917169213646929,1.0
Similarity-grouped development OOF,equal_frequency,9,0.9958028785220537,0.996114468666502,273,0.9959291966118139,1.0
Similarity-grouped development OOF,equal_frequency,10,0.996114468666502,0.9981867395822711,273,0.9974555984187147,1.0
Released independent test,equal_width,1,0.0,0.1,122,0.01719614926684782,0.01639344262295082
Released independent test,equal_width,2,0.1,0.2,14,0.14889855820154801,0.21428571428571427
Released independent test,equal_width,3,0.2,0.30000000000000004,4,0.27471191730691286,0.0
Released independent test,equal_width,4,0.30000000000000004,0.4,4,0.354528183392887,0.25
Released independent test,equal_width,5,0.4,0.5,6,0.4339949283703328,0.3333333333333333
Released independent test,equal_width,6,0.5,0.6000000000000001,1,0.5589322342157004,1.0
Released independent test,equal_width,7,0.6000000000000001,0.7000000000000001,3,0.6521666599752451,0.6666666666666666
Released independent test,equal_width,8,0.7000000000000001,0.8,6,0.7627338614852864,0.6666666666666666
Released independent test,equal_width,9,0.8,0.9,17,0.8593282547818446,0.7058823529411765
Released independent test,equal_width,10,0.9,1.0,125,0.9861019561076861,0.984
Released independent test,equal_frequency,1,0.004965406003955229,0.004965406003955229,31,0.004965406003955229,0.0
Released independent test,equal_frequency,2,0.004965406003955229,0.0072411669559932544,31,0.0055170141298011765,0.0
Released independent test,equal_frequency,3,0.00759345827890146,0.01790497127476385,30,0.01171279954735222,0.03333333333333333
Released independent test,equal_frequency,4,0.01800639597211651,0.08926658589731451,30,0.04738637333294728,0.03333333333333333
Released independent test,equal_frequency,5,0.1041182409517591,0.6153449204295871,30,0.2793262314162719,0.26666666666666666
Released independent test,equal_frequency,6,0.6583223331052526,0.9202757037748605,30,0.8367697228883376,0.7333333333333333
Released independent test,equal_frequency,7,0.9222327809391283,0.9873600057392211,30,0.9670782489843693,0.9333333333333333
Released independent test,equal_frequency,8,0.9874141089472503,0.9973115135374289,30,0.9941957773976748,1.0
Released independent test,equal_frequency,9,0.9973930417945497,0.9974617577937301,30,0.997457262041221,1.0
Released independent test,equal_frequency,10,0.9974617577937301,0.9974617577937301,30,0.9974617577937299,1.0
