evaluation,replicate,metric,value
Similarity-grouped development OOF,0,Brier,0.04757683023316999
Similarity-grouped development OOF,0,LogLoss,0.15744446704892381
Similarity-grouped development OOF,0,ECE_equal_width_10,0.014376917812087827
Similarity-grouped development OOF,0,ECE_equal_frequency_10,0.007000539412811699
Similarity-grouped development OOF,0,Calibration_intercept,0.0593570041266089
Similarity-grouped development OOF,0,Calibration_slope,1.0058931686459318
Similarity-grouped development OOF,1,Brier,0.050366904911921924
Similarity-grouped development OOF,1,LogLoss,0.16835298169834145
Similarity-grouped development OOF,1,ECE_equal_width_10,0.011399128113369765
Similarity-grouped development OOF,1,ECE_equal_frequency_10,0.010804249270665854
Similarity-grouped development OOF,1,Calibration_intercept,-0.08631416062686359
Similarity-grouped development OOF,1,Calibration_slope,0.9806867748809195
Similarity-grouped development OOF,2,Brier,0.04423386161371599
Similarity-grouped development OOF,2,LogLoss,0.15172859915918127
Similarity-grouped development OOF,2,ECE_equal_width_10,0.011907167185715339
Similarity-grouped development OOF,2,ECE_equal_frequency_10,0.005079182074020918
Similarity-grouped development OOF,2,Calibration_intercept,-0.0022384125305979145
Similarity-grouped development OOF,2,Calibration_slope,1.061398689921574
Similarity-grouped development OOF,3,Brier,0.050274395526568295
Similarity-grouped development OOF,3,LogLoss,0.1652907856158351
Similarity-grouped development OOF,3,ECE_equal_width_10,0.011183641275485566
Similarity-grouped development OOF,3,ECE_equal_frequency_10,0.013062068647227835
Similarity-grouped development OOF,3,Calibration_intercept,0.08130775039402334
Similarity-grouped development OOF,3,Calibration_slope,0.9955983442169968
Similarity-grouped development OOF,4,Brier,0.04943550897026421
Similarity-grouped development OOF,4,LogLoss,0.16393866075797014
Similarity-grouped development OOF,4,ECE_equal_width_10,0.012635120244644655
Similarity-grouped development OOF,4,ECE_equal_frequency_10,0.010394458747313685
Similarity-grouped development OOF,4,Calibration_intercept,-0.016627550855710063
Similarity-grouped development OOF,4,Calibration_slope,0.9897864987606664
Similarity-grouped development OOF,5,Brier,0.047711219734662934
Similarity-grouped development OOF,5,LogLoss,0.15793374305098393
Similarity-grouped development OOF,5,ECE_equal_width_10,0.01700972300430491
Similarity-grouped development OOF,5,ECE_equal_frequency_10,0.0108940347552377
Similarity-grouped development OOF,5,Calibration_intercept,0.14751167724487793
Similarity-grouped development OOF,5,Calibration_slope,1.0314038128247258
Similarity-grouped development OOF,6,Brier,0.0439456009029936
Similarity-grouped development OOF,6,LogLoss,0.14822652715148968
Similarity-grouped development OOF,6,ECE_equal_width_10,0.015975717179822404
Similarity-grouped development OOF,6,ECE_equal_frequency_10,0.012505044951109741
Similarity-grouped development OOF,6,Calibration_intercept,0.051842521745909614
Similarity-grouped development OOF,6,Calibration_slope,1.0621203547100828
Similarity-grouped development OOF,7,Brier,0.046613687302435876
Similarity-grouped development OOF,7,LogLoss,0.15584311187198518
Similarity-grouped development OOF,7,ECE_equal_width_10,0.017275332843073365
Similarity-grouped development OOF,7,ECE_equal_frequency_10,0.01015642700409632
Similarity-grouped development OOF,7,Calibration_intercept,0.02826285396150321
Similarity-grouped development OOF,7,Calibration_slope,1.0145050857901843
Similarity-grouped development OOF,8,Brier,0.04725979663800029
Similarity-grouped development OOF,8,LogLoss,0.1590051108701817
Similarity-grouped development OOF,8,ECE_equal_width_10,0.010970657385818972
