identity_cutoff,retained_fraction,metric,estimate,ci_low,ci_high,confidence_level,bootstrap_replicates,valid_replicates,n,positive_n,negative_n,threshold,random_state
0.4,0.2814569536423841,roc_auc,0.9342891278375149,0.8727598566308244,0.9829898446833931,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,average_precision,0.9012151413589238,0.8153656204125361,0.9742684251055785,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,accuracy,0.8941176470588236,0.8235294117647058,0.9529411764705882,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,balanced_accuracy,0.8891875746714457,0.8176448626045401,0.9560931899641577,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,precision,0.84375,0.7352941176470589,0.9629629629629629,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,sensitivity,0.8709677419354839,0.7419354838709677,0.967741935483871,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,specificity,0.9074074074074074,0.8333333333333334,0.9814814814814815,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,f1,0.8571428571428571,0.7678846153846156,0.9375,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,mcc,0.7733102469048467,0.6286185570937122,0.9009541051693618,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,brier,0.0925904874838674,0.04845560618445092,0.14215700553131588,0.95,2500,2500,85,31,54,0.5,70877
0.4,0.2814569536423841,log_loss,0.3311095757442406,0.17574840862913083,0.50871126663388,0.95,2500,2500,85,31,54,0.5,70877
0.5,0.38741721854304634,roc_auc,0.9264705882352942,0.8731917767106843,0.9683448379351741,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,average_precision,0.9111185876270584,0.8530765037175798,0.9604865974761163,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,accuracy,0.8632478632478633,0.8034188034188035,0.9230769230769231,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,balanced_accuracy,0.8623949579831933,0.7995198079231692,0.9224189675870349,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,precision,0.8235294117647058,0.7383820384889523,0.9166666666666666,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,sensitivity,0.8571428571428571,0.7551020408163265,0.9387755102040817,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,specificity,0.8676470588235294,0.7794117647058824,0.9411764705882353,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,f1,0.84,0.7676767676767676,0.9090909090909091,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,mcc,0.7211200700263294,0.5974280880298086,0.8425651642304164,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,brier,0.11102177750928902,0.0693162621601001,0.1563530989926449,0.95,2500,2500,117,49,68,0.5,70878
0.5,0.38741721854304634,log_loss,0.36902686978931054,0.2345552051293414,0.5204552385314973,0.95,2500,2500,117,49,68,0.5,70878
0.6,0.5,roc_auc,0.9503521126760563,0.9153169014084507,0.9785211267605635,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,average_precision,0.9493586438397611,0.914361724579112,0.9787550536044941,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,accuracy,0.8940397350993378,0.8410596026490066,0.9403973509933775,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,balanced_accuracy,0.8944542253521126,0.8412852112676057,0.940580985915493,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,precision,0.8767123287671232,0.810126582278481,0.9428571428571428,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,sensitivity,0.9014084507042254,0.8169014084507042,0.9577464788732394,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,specificity,0.8875,0.8125,0.95,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,f1,0.8888888888888888,0.8333333333333334,0.9370629370629371,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,mcc,0.7879379979768165,0.6823116201258139,0.8807886261055955,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,brier,0.08822841370894244,0.05544683106995177,0.12562094891310313,0.95,2500,2500,151,71,80,0.5,70879
0.6,0.5,log_loss,0.2979215921689351,0.19228262464023552,0.4191637350446139,0.95,2500,2500,151,71,80,0.5,70879
