item,value,notes
development_n,2735,
development_positive,1359,
development_negative,1376,
released_test_n,302,
released_test_positive,150,
released_test_negative,152,
released_total_n,3037,
released_total_positive,1509,
released_total_negative,1528,
paper_reported_positive,1528,
paper_reported_negative,1509,
paper_counts_are_apparent_transposition,True,Count-level discrepancy only; sequence-level orientation is audited separately.
test_header_label_mismatches,0,
nonstandard_sequence_rows,0,
within_split_duplicate_rows,0,
development_test_exact_overlap_sequences,0,
conflicting_label_rows,0,
aodb_positive_substrings,612,
aodb_negative_substrings,3,
aodb_orientation_odds_ratio,346.82274247491637,Source-consistency check only; not independent biological validation.
aodb_orientation_fisher_p,6.6075561372442985e-214,
