model,metric,ordinary_estimate,matched_mean,interval_low,interval_high,interval_type,matching_repetitions,shared_lengths,n_per_replicate
AnOxFuse,AUC,0.9828508771929825,0.930881660899654,0.9084967320261438,0.9534794309880815,matching-selection variability,2500,12,102
AnOxFuse,AUPRC,0.9837982793861633,0.9188447349091522,0.8851132060964997,0.9556730149855889,matching-selection variability,2500,12,102
AnOxFuse,ACC,0.9403973509933775,0.8707725490196081,0.8529411764705882,0.8921568627450981,matching-selection variability,2500,12,102
AnOxFuse,F1,0.9403973509933775,0.8672235635124074,0.8514851485148515,0.8865979381443299,matching-selection variability,2500,12,102
AnOxFuse,Precision,0.9342105263157895,0.893004290963284,0.86,0.9347826086956522,matching-selection variability,2500,12,102
AnOxFuse,Recall,0.9466666666666667,0.8431372549019607,0.8431372549019608,0.8431372549019608,matching-selection variability,2500,12,102
AnOxFuse,MCC,0.8808771929824561,0.7429131580723619,0.7060180864974626,0.7881104062391007,matching-selection variability,2500,12,102
AnOxFuse,Brier,0.04914230916632188,0.10395277828799994,0.08775900297403436,0.12060189719262655,matching-selection variability,2500,12,102
AnOxFuse,LogLoss,0.16980167054760278,0.3513914058214226,0.29803715328862684,0.4041344630954923,matching-selection variability,2500,12,102
Molecular ECFP4 branch,AUC,0.9702192982456139,0.8701759323337177,0.847750865051903,0.8923490965013455,matching-selection variability,2500,12,102
Molecular ECFP4 branch,AUPRC,0.9737496894481643,0.8504922728249031,0.8262242232486813,0.873940061440066,matching-selection variability,2500,12,102
Molecular ECFP4 branch,ACC,0.9105960264900662,0.7871333333333332,0.7647058823529411,0.8137254901960784,matching-selection variability,2500,12,102
Molecular ECFP4 branch,F1,0.907849829351536,0.765574928728135,0.7446808510638299,0.7912087912087913,matching-selection variability,2500,12,102
Molecular ECFP4 branch,Precision,0.9300699300699301,0.8527814009714683,0.813953488372093,0.9,matching-selection variability,2500,12,102
Molecular ECFP4 branch,Recall,0.8866666666666667,0.6948392156862746,0.6862745098039216,0.7058823529411765,matching-selection variability,2500,12,102
Molecular ECFP4 branch,MCC,0.8220136553424212,0.5845970343080574,0.5360478155388282,0.6425754631219991,matching-selection variability,2500,12,102
Molecular ECFP4 branch,Brier,0.07505326173087254,0.18752431162334593,0.16810377355348874,0.20779718301235955,matching-selection variability,2500,12,102
Molecular ECFP4 branch,LogLoss,0.4647399099776098,1.2519433017230182,1.1791554812321936,1.3324631690164905,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,AUC,0.9792105263157895,0.9344636678200692,0.9096501345636292,0.9600153787004998,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,AUPRC,0.9788028941206133,0.9158238085609288,0.8729183014879701,0.9610417976289226,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,ACC,0.9370860927152318,0.881137254901961,0.8529411764705882,0.9117647058823529,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,F1,0.9377049180327869,0.8790887617868582,0.854368932038835,0.9072164948453608,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,Precision,0.9225806451612903,0.8964483225271588,0.8461538461538461,0.9565217391304348,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,Recall,0.9533333333333334,0.862745098039216,0.8627450980392157,0.8627450980392157,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,MCC,0.8746737338734739,0.763119229846246,0.7060180864974626,0.8275159265510557,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,Brier,0.0579634883220467,0.11109583438270593,0.08594973723183225,0.13592606370657495,matching-selection variability,2500,12,102
Contextual peptide-adapted ESM-2 branch,LogLoss,0.31900944461666525,0.6311538325613273,0.4797421400292216,0.782802807861772,matching-selection variability,2500,12,102
