seed,evaluation,model,training_n,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP,learned_local_weight,nested_local_coefficient,nested_context_coefficient,nested_intercept
42,matched-development grouped OOF,Molecular branch,912,912,456,456,0.8360745614035088,0.8204801527200849,0.7642543859649122,0.7642543859649122,0.7655398037077427,0.7613882863340564,0.7697368421052632,0.7697368421052632,0.7587719298245614,0.5285405459151725,0.2112022780736215,1.298893705429539,346,110,105,351,,,,
42,matched-development grouped OOF,Contextual branch,912,912,456,456,0.9497489612188366,0.9428698052276031,0.893640350877193,0.893640350877193,0.8980021030494216,0.8626262626262626,0.9364035087719298,0.9364035087719298,0.8508771929824561,0.7901759761590683,0.09106744804994932,0.3950173143278191,388,68,29,427,,,,
42,matched-development grouped OOF,Equal probability mean,912,912,456,456,0.9333496845183133,0.9266110388080043,0.8508771929824561,0.8508771929824561,0.8521739130434782,0.8448275862068966,0.8596491228070176,0.8596491228070176,0.8421052631578947,0.7018624063435964,0.10425955864655369,0.3654938130193715,384,72,64,392,,,,
42,matched-development grouped OOF,Equal logit mean,912,912,456,456,0.9330996075715605,0.9237995040366092,0.8508771929824561,0.8508771929824561,0.8521739130434782,0.8448275862068966,0.8596491228070176,0.8596491228070176,0.8421052631578947,0.7018624063435964,0.11835859180309972,0.49909982421929383,384,72,64,392,,,,
42,matched-development grouped OOF,Learned convex probability mean,912,912,456,456,0.9499317097568483,0.9415089927493712,0.8892543859649122,0.8892543859649122,0.8933474128827877,0.8615071283095723,0.9276315789473685,0.9276315789473685,0.8508771929824561,0.780812143580299,0.08553024374362742,0.3182199689513273,388,68,33,423,,,,
42,matched-development grouped OOF,Nested logistic fusion,912,912,456,456,0.9522401123422592,0.9450700705218655,0.8837719298245614,0.8837719298245614,0.886021505376344,0.869198312236287,0.9035087719298246,0.9035087719298246,0.8640350877192983,0.7681425419550653,0.08266349894964221,0.27096957647417974,394,62,44,412,,,,
42,untouched released test after matched training,Molecular branch,912,302,150,152,0.9252192982456141,0.909865743081576,0.8377483443708609,0.8377192982456141,0.8361204013377926,0.8389261744966443,0.8333333333333334,0.8333333333333334,0.8421052631578947,0.6754830376266837,0.1331386709593195,0.700821365658423,128,24,25,125,0.1727990918254688,0.05835142850318405,0.38506926365531224,-0.15179464035813142
42,untouched released test after matched training,Contextual branch,912,302,150,152,0.901140350877193,0.8895966468753104,0.8443708609271523,0.8446491228070176,0.8498402555910544,0.8159509202453987,0.8866666666666667,0.8866666666666667,0.8026315789473685,0.6914700822882065,0.13261657683167216,0.7484154642633333,122,30,17,133,0.1727990918254688,0.05835142850318405,0.38506926365531224,-0.15179464035813142
42,untouched released test after matched training,Equal probability mean,912,302,150,152,0.9443421052631579,0.9294433020861642,0.890728476821192,0.8908771929824562,0.8925081433224755,0.8726114649681529,0.9133333333333333,0.9133333333333333,0.868421052631579,0.7823551084534425,0.09218869941988143,0.3602980058910629,132,20,13,137,0.1727990918254688,0.05835142850318405,0.38506926365531224,-0.15179464035813142
42,untouched released test after matched training,Equal logit mean,912,302,150,152,0.9465789473684211,0.9342436965224211,0.890728476821192,0.8908771929824562,0.8925081433224755,0.8726114649681529,0.9133333333333333,0.9133333333333333,0.868421052631579,0.7823551084534425,0.09126345140761224,0.4318084226109508,132,20,13,137,0.1727990918254688,0.05835142850318405,0.38506926365531224,-0.15179464035813142
42,untouched released test after matched training,Learned convex probability mean,912,302,150,152,0.9331140350877193,0.9197989406431295,0.8609271523178808,0.861140350877193,0.864516129032258,0.8375,0.8933333333333333,0.8933333333333333,0.8289473684210527,0.7235512052899576,0.10944256854380922,0.4088741282620549,126,26,16,134,0.1727990918254688,0.05835142850318405,0.38506926365531224,-0.15179464035813142
42,untouched released test after matched training,Nested logistic fusion,912,302,150,152,0.9210964912280701,0.9094513296780167,0.8774834437086093,0.8776315789473684,0.8794788273615635,0.8598726114649682,0.9,0.9,0.8552631578947368,0.7558435237639295,0.10629402744980451,0.371589423842085,130,22,15,135,0.1727990918254688,0.05835142850318405,0.38506926365531224,-0.15179464035813142
43,matched-development grouped OOF,Molecular branch,912,912,456,456,0.8265764465989536,0.8293384479257899,0.7423245614035088,0.7423245614035088,0.7437295528898582,0.7396963123644251,0.7478070175438597,0.7478070175438597,0.7368421052631579,0.48467825994710845,0.22767412798197115,1.290587089880448,336,120,115,341,,,,
43,matched-development grouped OOF,Contextual branch,912,912,456,456,0.9427948984302862,0.9341674957823499,0.875,0.875,0.879746835443038,0.8475609756097561,0.9144736842105263,0.9144736842105263,0.8355263157894737,0.7523482402215479,0.10287612051650438,0.4380308862624595,381,75,39,417,,,,
43,matched-development grouped OOF,Equal probability mean,912,912,456,456,0.9266649353647276,0.9288273513704326,0.8344298245614035,0.8344298245614035,0.8338833883388339,0.8366445916114791,0.831140350877193,0.831140350877193,0.8377192982456141,0.6688741245678028,0.11495389415479998,0.37386752176213944,382,74,77,379,,,,
43,matched-development grouped OOF,Equal logit mean,912,912,456,456,0.9276411972914743,0.9285359261027946,0.8344298245614035,0.8344298245614035,0.8338833883388339,0.8366445916114791,0.831140350877193,0.831140350877193,0.8377192982456141,0.6688741245678028,0.1312186077325406,0.5098905715116988,382,74,77,379,,,,
43,matched-development grouped OOF,Learned convex probability mean,912,912,456,456,0.943997191443521,0.9415651177012723,0.8739035087719298,0.8739035087719298,0.879074658254469,0.8444444444444444,0.9166666666666666,0.9166666666666666,0.831140350877193,0.7505571249867474,0.09596829147840359,0.33282039486429155,379,77,38,418,,,,
43,matched-development grouped OOF,Nested logistic fusion,912,912,456,456,0.9466181902123729,0.9417091190516886,0.8804824561403509,0.8804824561403508,0.8834224598930481,0.8622129436325678,0.9057017543859649,0.9057017543859649,0.8552631578947368,0.7619347302836877,0.09045118335283892,0.2918048173649436,390,66,43,413,,,,
43,untouched released test after matched training,Molecular branch,912,302,150,152,0.9325,0.9270080757030207,0.8443708609271523,0.8442543859649123,0.8406779661016949,0.8551724137931035,0.8266666666666667,0.8266666666666667,0.8618421052631579,0.6890378418145275,0.12893505469764371,0.6188048877262217,131,21,26,124,0.20742301024189716,0.06781948881444931,0.3661106451163736,-0.10118851815072764
43,untouched released test after matched training,Contextual branch,912,302,150,152,0.878859649122807,0.8797755187147871,0.8145695364238411,0.8146491228070176,0.8157894736842105,0.8051948051948052,0.8266666666666667,0.8266666666666667,0.8026315789473685,0.6294086778769917,0.158858049649651,0.8947011751475671,122,30,26,124,0.20742301024189716,0.06781948881444931,0.3661106451163736,-0.10118851815072764
43,untouched released test after matched training,Equal probability mean,912,302,150,152,0.9342105263157895,0.9231160369717529,0.8675496688741722,0.8675877192982455,0.8675496688741722,0.8618421052631579,0.8733333333333333,0.8733333333333333,0.8618421052631579,0.7351754385964913,0.10487972318185623,0.39389746489748567,131,21,19,131,0.20742301024189716,0.06781948881444931,0.3661106451163736,-0.10118851815072764
43,untouched released test after matched training,Equal logit mean,912,302,150,152,0.9455263157894738,0.9380668135668208,0.8675496688741722,0.8675877192982455,0.8675496688741722,0.8618421052631579,0.8733333333333333,0.8733333333333333,0.8618421052631579,0.7351754385964913,0.11106239085624167,0.46126294869125456,131,21,19,131,0.20742301024189716,0.06781948881444931,0.3661106451163736,-0.10118851815072764
43,untouched released test after matched training,Learned convex probability mean,912,302,150,152,0.9201754385964912,0.911080721686078,0.8211920529801324,0.8213157894736842,0.8235294117647058,0.8076923076923077,0.84,0.84,0.8026315789473685,0.6429700733500597,0.12699407647320327,0.45292084748200184,122,30,24,126,0.20742301024189716,0.06781948881444931,0.3661106451163736,-0.10118851815072764
43,untouched released test after matched training,Nested logistic fusion,912,302,150,152,0.9083333333333333,0.906347780504345,0.8543046357615894,0.8542982456140351,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8533333333333334,0.8552631578947368,0.7085964912280702,0.1201816639323443,0.4097557226684079,130,22,22,128,0.20742301024189716,0.06781948881444931,0.3661106451163736,-0.10118851815072764
44,matched-development grouped OOF,Molecular branch,912,912,456,456,0.8300198137888581,0.8144785685304302,0.7521929824561403,0.7521929824561404,0.751101321585903,0.754424778761062,0.7478070175438597,0.7478070175438597,0.756578947368421,0.504405371463332,0.2212857047435115,1.2612608712180822,345,111,115,341,,,,
44,matched-development grouped OOF,Contextual branch,912,912,456,456,0.9514465989535241,0.9449848920052342,0.8870614035087719,0.8870614035087719,0.8905419766206164,0.8639175257731959,0.918859649122807,0.918859649122807,0.8552631578947368,0.7756930469166519,0.09340221980037611,0.3901929515047826,390,66,37,419,,,,
44,matched-development grouped OOF,Equal probability mean,912,912,456,456,0.9331284626038782,0.9354185747707265,0.8552631578947368,0.8552631578947368,0.8539823008849557,0.8616071428571429,0.8464912280701754,0.8464912280701754,0.8640350877192983,0.7106356864228913,0.10908259529509506,0.36151481214573755,394,62,70,386,,,,
44,matched-development grouped OOF,Equal logit mean,912,912,456,456,0.935672514619883,0.933808869405704,0.8552631578947368,0.8552631578947368,0.8539823008849557,0.8616071428571429,0.8464912280701754,0.8464912280701754,0.8640350877192983,0.7106356864228913,0.11540077799515178,0.4617144709651758,394,62,70,386,,,,
44,matched-development grouped OOF,Learned convex probability mean,912,912,456,456,0.9499942289935366,0.9488126718953618,0.8892543859649122,0.8892543859649122,0.8922091782283885,0.8690228690228691,0.9166666666666666,0.9166666666666666,0.8618421052631579,0.7796814106432435,0.08797555306440635,0.3109008040056405,393,63,38,418,,,,
44,matched-development grouped OOF,Nested logistic fusion,912,912,456,456,0.9553660741766699,0.9522705139308206,0.8870614035087719,0.8870614035087719,0.8891280947255114,0.8731501057082452,0.9057017543859649,0.9057017543859649,0.868421052631579,0.7746613259999806,0.08214480908595052,0.26640956918734165,396,60,43,413,,,,
44,untouched released test after matched training,Molecular branch,912,302,150,152,0.9204824561403508,0.9146868517408638,0.8278145695364238,0.8275877192982456,0.8206896551724138,0.85,0.7933333333333333,0.7933333333333333,0.8618421052631579,0.6569064203148717,0.15113592760600003,0.7400648345455553,131,21,31,119,0.17426028347439576,0.07478456787180694,0.3824935779164978,-0.07178683673900442
44,untouched released test after matched training,Contextual branch,912,302,150,152,0.9330701754385965,0.9205228593821762,0.8675496688741722,0.8678508771929825,0.8726114649681529,0.8353658536585366,0.9133333333333333,0.9133333333333333,0.8223684210526315,0.7384273060760304,0.11304497865669787,0.5987752671273778,125,27,13,137,0.17426028347439576,0.07478456787180694,0.3824935779164978,-0.07178683673900442
44,untouched released test after matched training,Equal probability mean,912,302,150,152,0.9542105263157895,0.9456258191242328,0.8973509933774835,0.8974122807017544,0.8976897689768977,0.8888888888888888,0.9066666666666666,0.9066666666666666,0.8881578947368421,0.7948768576539456,0.08864511772300836,0.32605004474836646,135,17,14,136,0.17426028347439576,0.07478456787180694,0.3824935779164978,-0.07178683673900442
44,untouched released test after matched training,Equal logit mean,912,302,150,152,0.9592543859649123,0.9515492123680491,0.8973509933774835,0.8974122807017544,0.8976897689768977,0.8888888888888888,0.9066666666666666,0.9066666666666666,0.8881578947368421,0.7948768576539456,0.0822639450770169,0.3556331892247495,135,17,14,136,0.17426028347439576,0.07478456787180694,0.3824935779164978,-0.07178683673900442
44,untouched released test after matched training,Learned convex probability mean,912,302,150,152,0.9503070175438596,0.9411701661785796,0.8708609271523179,0.871140350877193,0.8753993610223643,0.8404907975460123,0.9133333333333333,0.9133333333333333,0.8289473684210527,0.7446194752256049,0.09467668946099725,0.3509341908899815,126,26,13,137,0.17426028347439576,0.07478456787180694,0.3824935779164978,-0.07178683673900442
44,untouched released test after matched training,Nested logistic fusion,912,302,150,152,0.9493421052631579,0.9360759485686212,0.8841059602649006,0.8843859649122807,0.8881789137380192,0.852760736196319,0.9266666666666666,0.9266666666666666,0.8421052631578947,0.771194171694304,0.08384172937377014,0.2922203862139079,128,24,11,139,0.17426028347439576,0.07478456787180694,0.3824935779164978,-0.07178683673900442
45,matched-development grouped OOF,Molecular branch,912,912,456,456,0.8587498076331178,0.8526275967705736,0.7730263157894737,0.7730263157894737,0.7650397275822929,0.7929411764705883,0.7390350877192983,0.7390350877192983,0.8070175438596491,0.5473188445713352,0.19083735204313718,1.0583474631808203,368,88,119,337,,,,
45,matched-development grouped OOF,Contextual branch,912,912,456,456,0.9249480609418282,0.9018623634230493,0.8519736842105263,0.8519736842105263,0.8571428571428571,0.8282208588957055,0.8881578947368421,0.8881578947368421,0.8157894736842105,0.7057979931384792,0.1211673152465512,0.5263842566054627,372,84,51,405,,,,
45,matched-development grouped OOF,Equal probability mean,912,912,456,456,0.9266649353647276,0.9231749051548054,0.8421052631578947,0.8421052631578947,0.84,0.8513513513513513,0.8289473684210527,0.8289473684210527,0.8552631578947368,0.6844475644404533,0.11314023885930141,0.3756161846021948,390,66,78,378,,,,
45,matched-development grouped OOF,Equal logit mean,912,912,456,456,0.9300746383502617,0.923007635984647,0.8421052631578947,0.8421052631578947,0.84,0.8513513513513513,0.8289473684210527,0.8289473684210527,0.8552631578947368,0.6844475644404533,0.12360494228059896,0.49986756006270594,390,66,78,378,,,,
45,matched-development grouped OOF,Learned convex probability mean,912,912,456,456,0.9342057171437366,0.928341618056891,0.8475877192982456,0.8475877192982456,0.8513368983957219,0.8308977035490606,0.8728070175438597,0.8728070175438597,0.8223684210526315,0.6960614106626196,0.10695147832283969,0.3627454159640564,375,81,58,398,,,,
45,matched-development grouped OOF,Nested logistic fusion,912,912,456,456,0.9346577793167128,0.9210462130221175,0.8442982456140351,0.8442982456140351,0.8459869848156182,0.8369098712446352,0.8552631578947368,0.8552631578947368,0.8333333333333334,0.6887621299244076,0.0999711315316128,0.3200568797219041,380,76,66,390,,,,
45,untouched released test after matched training,Molecular branch,912,302,150,152,0.9160964912280702,0.9101745891360433,0.8145695364238411,0.8142982456140351,0.8055555555555556,0.8405797101449275,0.7733333333333333,0.7733333333333333,0.8552631578947368,0.6309252504281428,0.1519377216048498,0.7487338994555626,130,22,34,116,0.30406018615846825,0.10843923326597506,0.2971438421464555,0.07333758743034213
45,untouched released test after matched training,Contextual branch,912,302,150,152,0.9044736842105264,0.9001858763341455,0.8410596026490066,0.8409649122807017,0.8378378378378378,0.8493150684931506,0.8266666666666667,0.8266666666666667,0.8552631578947368,0.6822890185945079,0.13379484714667408,0.7524271079084676,130,22,26,124,0.30406018615846825,0.10843923326597506,0.2971438421464555,0.07333758743034213
