evaluation,model,AUC_mean,AUPRC_mean,ACC_mean,Balanced_ACC_mean,F1_mean,Precision_mean,Recall_mean,Specificity_mean,MCC_mean,Brier_mean,LogLoss_mean,AUC_sd,AUPRC_sd,ACC_sd,Balanced_ACC_sd,F1_sd,Precision_sd,Recall_sd,Specificity_sd,MCC_sd,Brier_sd,LogLoss_sd
matched-development grouped OOF,Molecular branch,0.8381617420744846,0.8298673200955197,0.7578947368421052,0.7578947368421053,0.7558067188343187,0.7629780926454368,0.7491228070175439,0.7666666666666666,0.5161145893624959,0.21239302866490245,1.2259210603997257,0.012552278091009787,0.01457495317208888,0.011666171998482786,0.011666171998482782,0.009390791997232672,0.0195416127942917,0.012170558706589127,0.026159992032362554,0.023736540554261422,0.013970451751861833,0.09857196333198825
matched-development grouped OOF,Contextual branch,0.9409222068328716,0.9301661012656561,0.875,0.875,0.8793694324533121,0.8495372895294377,0.9114035087719298,0.8385964912280702,0.7520309100503667,0.10303810057036597,0.44324073210406734,0.010896260844871107,0.01738147549950296,0.01644736842105266,0.01644736842105266,0.016042629546861104,0.01461036704660443,0.01858221067045162,0.015553178268857146,0.03318534902887387,0.012021708250978591,0.056178717133854805
matched-development grouped OOF,Equal probability mean,0.9285982225300092,0.9271946758308914,0.8412280701754385,0.8412280701754385,0.8405843780992182,0.8440075472089059,0.837280701754386,0.8451754385964912,0.6825527214352778,0.11118861071064264,0.37291249593966974,0.004469291695272359,0.0053477353355316695,0.0127730639196697,0.0127730639196697,0.01296563151670584,0.013758093863461506,0.015691705105261716,0.014678246079545177,0.025593967906350896,0.004512300792614074,0.010282515255839546
matched-development grouped OOF,Equal logit mean,0.9305949907663896,0.9266331858430542,0.8412280701754385,0.8412280701754385,0.8405843780992182,0.8440075472089059,0.837280701754386,0.8451754385964912,0.6825527214352778,0.1255791381665255,0.5020057027153145,0.003805444696870545,0.004559204618170805,0.0127730639196697,0.0127730639196697,0.01296563151670584,0.013758093863461506,0.015691705105261716,0.014678246079545177,0.025593967906350896,0.00974742329201162,0.027843767548287046
matched-development grouped OOF,Learned convex probability mean,0.9435393582640813,0.9393898362614266,0.8725877192982455,0.8725877192982455,0.8766261481495103,0.8494218517456016,0.9057017543859649,0.8394736842105264,0.7468923321555517,0.09512822330896577,0.33473998601247745,0.00681223371807103,0.007536568963093754,0.01785631840861603,0.01785631840861603,0.017730847074325328,0.015533531307566831,0.021929824561403466,0.016293136509655002,0.036072184847817976,0.008667225853305864,0.021406396898168537
matched-development grouped OOF,Nested logistic fusion,0.9458217913204063,0.939141500942333,0.8721491228070176,0.8721491228070175,0.8743172143675098,0.8592963787605091,0.8899122807017544,0.8543859649122807,0.7448121655587182,0.09021306155084621,0.29113165081608,0.008497963239354023,0.011768722435500246,0.017690587083108025,0.01769058708310804,0.01799310172678034,0.014300380092847108,0.022331841435264822,0.013660010089822299,0.03561316098872512,0.007889421293553644,0.02284987448999529
untouched released test after matched training,Molecular branch,0.9216578947368422,0.9147637668061526,0.8298013245033113,0.8296491228070175,0.8246765122436608,0.8438322114110729,0.8066666666666666,0.8526315789473683,0.6603246029928969,0.14362127042647546,0.7153518524904635,0.007438472359109919,0.007109212964216182,0.011613031732947072,0.011683761055050118,0.014029694371609098,0.00849561705108477,0.02449489742783181,0.009977467689541504,0.02265186581634043,0.011601681190077139,0.05929730410488903
untouched released test after matched training,Contextual branch,0.9053684210526315,0.8994801691980998,0.8410596026490065,0.8412017543859649,0.8432939823120165,0.825496539709461,0.8626666666666667,0.8197368421052632,0.6835807709062254,0.1350186486175167,0.7400450392780916,0.019392155874194635,0.01573779031972135,0.018877076574489022,0.01896111018901257,0.020597718299467903,0.017195597549744257,0.03788872596902086,0.021620627269940747,0.03892155554133103,0.016290526023850716,0.10637728858136287
untouched released test after matched training,Equal probability mean,0.9420438596491229,0.9300103946455293,0.8788079470198676,0.878859649122807,0.8789736579844322,0.8715205889542827,0.8866666666666667,0.8710526315789474,0.7578467068845973,0.09761554491263301,0.3613230342393642,0.00781745802970303,0.009020371837643102,0.014546942143370073,0.014586086667931037,0.015218566552727564,0.01131401610402656,0.021602468994692876,0.011008684559658938,0.02931738629700183,0.006907061302916388,0.02420798108474725
untouched released test after matched training,Equal logit mean,0.949061403508772,0.940221418031979,0.8788079470198676,0.878859649122807,0.8789736579844322,0.8715205889542827,0.8866666666666667,0.8710526315789474,0.7578467068845973,0.09969200741278977,0.42744551409361736,0.0065743112319712246,0.006676443193422418,0.014546942143370073,0.014586086667931037,0.015218566552727564,0.01131401610402656,0.021602468994692876,0.011008684559658938,0.02931738629700183,0.013604218120932418,0.048827900631036134
untouched released test after matched training,Learned convex probability mean,0.9343508771929825,0.9236300144302969,0.8503311258278146,0.8504561403508772,0.8520805024450109,0.836237824161606,0.8693333333333333,0.8315789473684211,0.7019563312266444,0.10933041137682964,0.39554771615992823,0.010746303236043416,0.011167765995766707,0.018643295708952647,0.01870894499860725,0.01992710386632643,0.019082741795000465,0.03608631627393164,0.023537557657892484,0.0380928321119316,0.01169213718592737,0.03816313150218311
untouched released test after matched training,Nested logistic fusion,0.9291842105263157,0.9210911714728303,0.8708609271523178,0.8709561403508772,0.8717889739624909,0.8590756891401006,0.8853333333333333,0.8565789473684211,0.742522564293244,0.10215186610542179,0.3476389070161546,0.015412551545813379,0.012679200322313353,0.011229023150869632,0.01133635761614951,0.013180141528685312,0.006011985270343281,0.028828997747252855,0.009758155904073267,0.023484906674950255,0.01308827466563141,0.044646038075069075
