model,replicate,metric,value
AnOxFuse,0,AUC,0.8835795913603859
AnOxFuse,0,AUPRC,0.8820599909224734
AnOxFuse,0,ACC,0.7868561885543454
AnOxFuse,0,F1,0.783393026838719
AnOxFuse,0,Precision,0.7940164226143632
AnOxFuse,0,Recall,0.773050145487608
AnOxFuse,0,MCC,0.5738762973655537
AnOxFuse,0,Brier,0.15213023712801016
AnOxFuse,0,LogLoss,0.5170333102666498
AnOxFuse,1,AUC,0.9327646936270779
AnOxFuse,1,AUPRC,0.9370319424208917
AnOxFuse,1,ACC,0.8980247720789202
AnOxFuse,1,F1,0.8995578540436072
AnOxFuse,1,Precision,0.8897437716869142
AnOxFuse,1,Recall,0.909590854374479
AnOxFuse,1,MCC,0.7962273800623332
AnOxFuse,1,Brier,0.09222405902301747
AnOxFuse,1,LogLoss,0.3258670379915742
AnOxFuse,2,AUC,0.8998342131237552
AnOxFuse,2,AUPRC,0.8625739677905648
AnOxFuse,2,ACC,0.836666604848469
AnOxFuse,2,F1,0.8334833855563392
AnOxFuse,2,Precision,0.8158978971299145
AnOxFuse,2,Recall,0.8518436318340119
AnOxFuse,2,MCC,0.6739624825371541
AnOxFuse,2,Brier,0.12677185869551946
AnOxFuse,2,LogLoss,0.4403037434327919
AnOxFuse,3,AUC,0.92527085074237
AnOxFuse,3,AUPRC,0.8804369875585389
AnOxFuse,3,ACC,0.8731426252276232
AnOxFuse,3,F1,0.8622061665049773
AnOxFuse,3,Precision,0.8083327930153046
AnOxFuse,3,Recall,0.9237733676440751
AnOxFuse,3,MCC,0.7513483585607954
AnOxFuse,3,Brier,0.1129848652478331
AnOxFuse,3,LogLoss,0.386303339724944
AnOxFuse,4,AUC,0.9302596111674529
AnOxFuse,4,AUPRC,0.9409162181995671
AnOxFuse,4,ACC,0.8848567725333469
AnOxFuse,4,F1,0.888483418414124
AnOxFuse,4,Precision,0.9010020269261092
AnOxFuse,4,Recall,0.8763079122974146
AnOxFuse,4,MCC,0.7698346951883792
AnOxFuse,4,Brier,0.10128824661993875
AnOxFuse,4,LogLoss,0.34627485919056517
AnOxFuse,5,AUC,0.9050099448143973
AnOxFuse,5,AUPRC,0.8954205307843052
AnOxFuse,5,ACC,0.8289029849136419
AnOxFuse,5,F1,0.8215865750382486
AnOxFuse,5,Precision,0.8714444337323275
AnOxFuse,5,Recall,0.7771250039557244
AnOxFuse,5,MCC,0.6622486779755307
AnOxFuse,5,Brier,0.1342725499941706
AnOxFuse,5,LogLoss,0.44675990732603066
AnOxFuse,6,AUC,0.9336352122102365
AnOxFuse,6,AUPRC,0.9475170438806707
AnOxFuse,6,ACC,0.8606524729458443
AnOxFuse,6,F1,0.8625964942671789
AnOxFuse,6,Precision,0.907455616619851
AnOxFuse,6,Recall,0.8219635815401672
AnOxFuse,6,MCC,0.7255877608532978
AnOxFuse,6,Brier,0.11122311775592972
AnOxFuse,6,LogLoss,0.35363799127323137
AnOxFuse,7,AUC,0.8556031359889336
AnOxFuse,7,AUPRC,0.8572996218787328
AnOxFuse,7,ACC,0.7974852102918712
AnOxFuse,7,F1,0.7973362310532552
