first,second,metric,delta_first_minus_second,ci_low,ci_high,bootstrap_reps
AnOxFuse,Contextual peptide-adapted ESM-2 branch,AUC,0.003640350877192944,-0.0008771929824562541,0.008201754385964932,2500
AnOxFuse,Contextual peptide-adapted ESM-2 branch,AUPRC,0.00499538526554999,-0.00011285876168414253,0.011100924371190625,2500
AnOxFuse,Contextual peptide-adapted ESM-2 branch,ACC,0.0033112582781457123,-0.013245033112582849,0.019867549668874163,2500
AnOxFuse,Contextual peptide-adapted ESM-2 branch,F1,0.0026924329605906294,-0.01430121675155629,0.019796098855776774,2500
AnOxFuse,Contextual peptide-adapted ESM-2 branch,MCC,0.006203459108982234,-0.027096098991422853,0.03981844312809166,2500
AnOxFuse,Contextual peptide-adapted ESM-2 branch,Brier,-0.00882117915572482,-0.019551351255395998,0.0011034697751952244,2500
AnOxFuse,Contextual peptide-adapted ESM-2 branch,LogLoss,-0.14920777406906247,-0.26473690735771804,-0.05197880580713829,2500
AnOxFuse nested logistic fusion,Equal probability mean,AUC,0.0014035087719298511,-0.004210526315789442,0.006403508771929856,2500
AnOxFuse nested logistic fusion,Equal probability mean,AUPRC,0.00041416170928687546,-0.00649579879952118,0.006027364301676239,2500
AnOxFuse nested logistic fusion,Equal probability mean,ACC,0.009933774834437137,-0.0033112582781457123,0.026490066225165535,2500
AnOxFuse nested logistic fusion,Equal probability mean,F1,0.010631464705752047,-0.0030335494764645475,0.02734893138093083,2500
AnOxFuse nested logistic fusion,Equal probability mean,MCC,0.019943357752810198,-0.006536963265077314,0.052373137398830205,2500
AnOxFuse nested logistic fusion,Equal probability mean,Brier,-0.0026001664473657565,-0.009285149040415155,0.00450150698379904,2500
AnOxFuse nested logistic fusion,Equal probability mean,LogLoss,-0.04950589457399268,-0.12598143077495874,0.012480629850569486,2500
