evaluation,seed,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
development grouped OOF,42,Molecular branch,2735,1359,1376,0.9650622679124528,0.9687329440741208,0.9016453382084095,0.9015074460530144,0.898834148176006,0.9192307692307692,0.8793230316409124,0.8793230316409124,0.9236918604651163,0.8039793942931527,0.08715770383601705,0.5481376126605104,1271,105,164,1195
development grouped OOF,42,Contextual branch,2735,1359,1376,0.9801816486130362,0.9806715867755088,0.9180987202925046,0.9181001013912419,0.9176470588235294,0.916972814107274,0.9183222958057395,0.9183222958057395,0.9178779069767442,0.8361934953175407,0.06679502688576298,0.2994609358417974,1263,113,111,1248
development grouped OOF,42,Equal probability mean,2735,1359,1376,0.9797800408987456,0.9815909562271727,0.9254113345521023,0.925272087889522,0.9232505643340858,0.9445727482678984,0.9028697571743929,0.9028697571743929,0.9476744186046512,0.8515968078700725,0.058353622887074,0.2254126705298602,1304,72,132,1227
development grouped OOF,42,Equal logit mean,2735,1359,1376,0.982784344678885,0.9838967169561756,0.9254113345521023,0.925272087889522,0.9232505643340858,0.9445727482678984,0.9028697571743929,0.9028697571743929,0.9476744186046512,0.8515968078700725,0.06220048706401313,0.2942124907312569,1304,72,132,1227
development grouped OOF,42,Learned convex probability mean,2735,1359,1376,0.980619085510892,0.9822094107235079,0.9191956124314442,0.9191629447096874,0.9182994454713493,0.9227340267459139,0.9139072847682119,0.9139072847682119,0.9244186046511628,0.8384133228536506,0.05813074357523077,0.22101713314993385,1272,104,117,1242
development grouped OOF,42,Nested logistic fusion,2735,1359,1376,0.9837544064548145,0.9845656126834257,0.926508226691042,0.9264667505176515,0.9255831173639393,0.9314456035767511,0.919793966151582,0.919793966151582,0.9331395348837209,0.8530653497247456,0.05197824294430322,0.1670146891805536,1284,92,109,1250
development grouped OOF,42,Feature concatenation LR,2735,1359,1376,0.9844528081523692,0.9851143505038157,0.9279707495429617,0.92799751227818,0.927865250823874,0.923469387755102,0.9323031640912436,0.9323031640912436,0.9236918604651163,0.8559831231676391,0.05239974742587145,0.19283205039842258,1271,105,92,1267
released test sensitivity,42,Molecular branch,302,150,152,0.9702192982456139,0.9737496894481643,0.9105960264900662,0.910438596491228,0.9078498293515358,0.9300699300699301,0.8866666666666667,0.8866666666666667,0.9342105263157895,0.8220136553424212,0.07505326173087254,0.46473990997760967,142,10,17,133
released test sensitivity,42,Contextual branch,302,150,152,0.9792105263157895,0.9788028941206133,0.9370860927152318,0.9371929824561404,0.9377049180327869,0.9225806451612903,0.9533333333333334,0.9533333333333334,0.9210526315789473,0.8746737338734739,0.0579634594191279,0.3190096766793099,140,12,7,143
released test sensitivity,42,Equal probability mean,302,150,152,0.9814473684210526,0.9833841176768764,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05174254025430952,0.2193082132901628,142,10,11,139
released test sensitivity,42,Equal logit mean,302,150,152,0.9829824561403508,0.9844513079699975,0.9304635761589404,0.9304385964912281,0.9297658862876255,0.9328859060402684,0.9266666666666666,0.9266666666666666,0.9342105263157895,0.860933835229646,0.05827522076357034,0.29105331112940863,142,10,11,139
