evaluation,model,AUC_mean,AUPRC_mean,ACC_mean,Balanced_ACC_mean,F1_mean,Precision_mean,Recall_mean,Specificity_mean,MCC_mean,Brier_mean,LogLoss_mean,AUC_sd,AUPRC_sd,ACC_sd,Balanced_ACC_sd,F1_sd,Precision_sd,Recall_sd,Specificity_sd,MCC_sd,Brier_sd,LogLoss_sd
development grouped OOF,Molecular branch,0.9645681460376132,0.9684561332754505,0.9012065813528336,0.9010832178243235,0.8986223588957479,0.9167176219232221,0.8812362030905078,0.9209302325581395,0.8029594560851864,0.08691599468614884,0.5527237909275723,0.0009059678370302086,0.0007860797450205864,0.0025776316975524337,0.0025892248997979573,0.0028417006967088824,0.0017080244941860944,0.004700138167085028,0.0016572317225278341,0.005053681320345988,0.0012785286832718288,0.014679335032572289
development grouped OOF,Contextual branch,0.9805891387305987,0.9809047488447489,0.9219012797074955,0.9218964440337457,0.9213854930969843,0.9216628381196283,0.9211184694628404,0.9226744186046512,0.8438051054352933,0.06438841363739019,0.2938680940780992,0.0007401283534533132,0.0006568521143626047,0.0033370688728641957,0.003345792152559341,0.0034748842986788236,0.0028792313498220796,0.0052394357965909475,0.002934103086945688,0.0066683195199434865,0.0022022138653389734,0.008260396034184648
development grouped OOF,Equal probability mean,0.9801958733336755,0.9817271190950969,0.9250457038391225,0.9248987157109365,0.9227750785228798,0.9453591544212692,0.9012509197939661,0.9485465116279069,0.8509632792885024,0.05758386248504974,0.22425307418020185,0.0006720415398488452,0.0005359646676747823,0.0005170799131162595,0.00052044705107724,0.000593666009668858,0.001783554384413717,0.0021704019431570865,0.0018811306839454393,0.0010032156126228286,0.0010113486972993756,0.007364053595743703
development grouped OOF,Equal logit mean,0.9824238603111043,0.9835033118477764,0.9250457038391225,0.9248987157109365,0.9227750785228798,0.9453591544212692,0.9012509197939661,0.9485465116279069,0.8509632792885024,0.06134117624800436,0.2950552146399056,0.0006282408993126823,0.0005872842762248523,0.0005170799131162595,0.00052044705107724,0.000593666009668858,0.001783554384413717,0.0021704019431570865,0.0018811306839454393,0.0010032156126228286,0.0010364487291501486,0.0075034882377777055
development grouped OOF,Learned convex probability mean,0.9812554545921248,0.9825532043587847,0.9236563071297988,0.9236233572051953,0.9228033200078922,0.9273351569593121,0.9183222958057395,0.9289244186046511,0.8473430514523432,0.05644809040070294,0.2180477818981142,0.0009295357854859755,0.0007364153231255015,0.002511965489918506,0.002513022764863928,0.0025562128178713978,0.003041592321772989,0.0034119273346195148,0.0031426959753546083,0.0050249771298702265,0.0016365468559997258,0.007854760224758495
development grouped OOF,Nested logistic fusion,0.9837130692027312,0.9844197389053535,0.9284095063985374,0.9283853765593715,0.9277051548343238,0.9309508786152414,0.9245033112582781,0.9322674418604651,0.8568465799782755,0.05080518179667457,0.16638824045672224,0.0006371925343036393,0.0005142375719944502,0.002153810087754753,0.0021742178786422635,0.0024208805633615443,0.0017411624405008607,0.005761171193837659,0.0021435873842663438,0.004264674776720514,0.001195148859691128,0.00299582968124514
development grouped OOF,Feature concatenation LR,0.9838098079983573,0.9846170077945604,0.9296526508226691,0.9296772057942742,0.9295223641429861,0.9254542808001162,0.9336276674025019,0.9257267441860465,0.8593418314718619,0.052325457615310725,0.1987030734387802,0.0006342883688958097,0.0005111354212447555,0.002321107166084629,0.0023258535731324717,0.0023788459693567213,0.0017439042354260288,0.003139180133583789,0.0016572317225278844,0.004654252015252251,0.000770735834448681,0.0060093182974575
released test sensitivity,Molecular branch,0.9702192982456139,0.9737496894481643,0.9105960264900663,0.910438596491228,0.9078498293515358,0.9300699300699302,0.8866666666666667,0.9342105263157896,0.8220136553424211,0.07505326173087254,0.46473990997760967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.206335383118183e-17
released test sensitivity,Contextual branch,0.9792105263157895,0.9788028941206133,0.9370860927152318,0.9371929824561404,0.937704918032787,0.9225806451612903,0.9533333333333334,0.9210526315789472,0.8746737338734739,0.05796345941912791,0.3190096766793099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
released test sensitivity,Equal probability mean,0.9814473684210526,0.9833841176768765,0.9304635761589404,0.9304385964912282,0.9297658862876255,0.9328859060402686,0.9266666666666665,0.9342105263157896,0.860933835229646,0.05174254025430952,0.21930821329016278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
