metric,value
owners,302.0
shuffles_per_owner,10.0
generated_draws,3020.0
unique_output_sequences_global,2682.0
unchanged_draws,146.0
unchanged_fraction,0.048344370860927154
within_owner_repeated_draws,328.0
within_owner_repeated_fraction,0.10860927152317881
owners_with_at_least_one_unchanged_draw,48.0
mean_hamming_distance,8.382450331125828
median_hamming_distance,8.0
hamming_distance_q025,0.0
hamming_distance_q975,18.0
mean_normalized_hamming_distance,0.7777988320779542
median_normalized_hamming_distance,0.8333333333333334
normalized_hamming_distance_q025,0.0
normalized_hamming_distance_q975,1.0
