owner_index,header,length,draws,unique_draws,unchanged_draws,repeated_draws,mean_hamming_distance,mean_normalized_hamming_distance
0,0_neg_519,10,10,10,0,0,8.9,0.89
1,1_pos_524,3,10,6,2,4,1.9,0.6333333333333333
2,0_neg_766,13,10,10,0,0,9.9,0.7615384615384616
3,0_neg_402,11,10,10,0,0,9.1,0.8272727272727273
4,0_neg_539,20,10,10,0,0,17.4,0.8699999999999999
5,1_pos_1368,6,10,10,0,0,4.4,0.7333333333333334
6,0_neg_1198,8,10,10,0,0,6.5,0.8125
7,0_neg_1183,20,10,10,0,0,17.9,0.8949999999999999
8,0_neg_514,15,10,10,0,0,13.0,0.8666666666666667
9,1_pos_219,9,10,10,0,0,6.2,0.6888888888888889
10,0_neg_653,12,10,10,0,0,10.6,0.8833333333333333
11,1_pos_972,4,10,9,0,1,3.2,0.8
12,1_pos_1308,5,10,8,0,2,3.4,0.6799999999999999
13,0_neg_410,10,10,10,0,0,8.7,0.8699999999999999
14,1_pos_39,3,10,3,2,7,1.6,0.5333333333333333
15,0_neg_114,7,10,10,0,0,4.3,0.6142857142857142
16,1_pos_786,2,10,2,6,8,0.8,0.4
17,1_pos_1430,7,10,10,0,0,6.2,0.8857142857142858
18,0_neg_584,15,10,10,0,0,14.2,0.9466666666666667
19,0_neg_1251,20,10,10,0,0,17.4,0.8699999999999999
20,0_neg_488,10,10,10,0,0,7.5,0.75
21,1_pos_63,3,10,3,2,7,1.6,0.5333333333333333
22,1_pos_45,12,10,10,0,0,9.9,0.8250000000000001
23,1_pos_333,12,10,10,0,0,10.7,0.8916666666666666
24,0_neg_200,20,10,10,0,0,18.3,0.915
25,1_pos_535,6,10,10,0,0,5.3,0.8833333333333333
26,1_pos_1411,12,10,10,0,0,10.1,0.8416666666666667
27,0_neg_1034,11,10,10,0,0,9.7,0.8818181818181817
28,0_neg_328,16,10,10,0,0,14.4,0.9
29,0_neg_543,7,10,10,0,0,5.3,0.7571428571428571
30,0_neg_858,14,10,10,0,0,10.1,0.7214285714285714
31,1_pos_602,16,10,10,0,0,13.8,0.8625
32,1_pos_909,3,10,3,5,7,1.0,0.3333333333333333
33,0_neg_94,15,10,10,0,0,13.0,0.8666666666666667
34,0_neg_277,9,10,10,0,0,7.2,0.8
35,0_neg_1260,13,10,10,0,0,11.8,0.9076923076923078
36,0_neg_334,13,10,10,0,0,10.3,0.7923076923076924
37,0_neg_1408,14,10,10,0,0,11.8,0.8428571428571429
38,0_neg_567,19,10,10,0,0,16.2,0.8526315789473684
39,0_neg_896,18,10,10,0,0,15.6,0.8666666666666667
40,0_neg_1267,7,10,10,0,0,5.8,0.8285714285714285
41,1_pos_470,4,10,7,0,3,3.1,0.775
42,0_neg_175,10,10,10,0,0,7.8,0.78
43,0_neg_1525,17,10,10,0,0,14.0,0.8235294117647058
44,0_neg_1156,14,10,10,0,0,11.4,0.8142857142857143
45,0_neg_278,9,10,10,0,0,7.8,0.8666666666666667
46,0_neg_593,14,10,10,0,0,11.7,0.8357142857142856
47,0_neg_1048,17,10,10,0,0,15.3,0.9
48,0_neg_610,16,10,10,0,0,13.4,0.8375
49,0_neg_742,20,10,10,0,0,18.9,0.945
50,0_neg_574,15,10,10,0,0,14.1,0.94
51,0_neg_841,13,10,10,0,0,9.0,0.6923076923076923
52,0_neg_1046,8,10,9,0,1,7.1,0.8875
53,1_pos_147,14,10,10,0,0,10.8,0.7714285714285715
54,1_pos_613,9,10,10,0,0,8.0,0.8888888888888888
55,1_pos_1338,10,10,10,0,0,8.1,0.8099999999999999
56,0_neg_709,15,10,10,0,0,13.3,0.8866666666666667
57,0_neg_37,15,10,10,0,0,13.9,0.9266666666666666
58,1_pos_103,10,10,10,0,0,8.2,0.82
59,0_neg_532,20,10,10,0,0,16.9,0.845
60,1_pos_135,5,10,10,0,0,4.1,0.82
61,0_neg_987,12,10,10,0,0,9.5,0.7916666666666666
62,0_neg_1312,16,10,10,0,0,14.4,0.9
63,1_pos_1292,7,10,10,0,0,6.4,0.9142857142857144
64,0_neg_561,9,10,10,0,0,8.4,0.9333333333333333
65,0_neg_1148,12,10,10,0,0,9.3,0.775
66,1_pos_462,3,10,3,5,7,1.0,0.3333333333333333
67,1_pos_1442,6,10,10,0,0,5.0,0.8333333333333334
68,0_neg_491,18,10,10,0,0,16.0,0.8888888888888888
69,1_pos_352,5,10,10,0,0,3.6,0.72
70,0_neg_1004,10,10,10,0,0,8.9,0.89
71,1_pos_832,14,10,10,0,0,11.5,0.8214285714285714
72,1_pos_775,3,10,5,0,5,2.5,0.8333333333333334
73,1_pos_1215,3,10,3,1,7,1.8,0.6
74,1_pos_217,3,10,3,3,7,1.4,0.4666666666666666
75,1_pos_505,3,10,4,3,6,1.9,0.6333333333333333
76,0_neg_1518,15,10,10,0,0,12.0,0.8
77,1_pos_343,5,10,9,0,1,4.0,0.8
78,1_pos_1380,6,10,10,0,0,3.4,0.5666666666666667
79,1_pos_329,4,10,7,1,3,2.5,0.625
80,1_pos_1425,4,10,8,0,2,3.1,0.775
81,1_pos_1449,6,10,10,0,0,5.0,0.8333333333333334
82,1_pos_713,3,10,4,1,6,1.9,0.6333333333333333
83,0_neg_523,9,10,10,0,0,7.3,0.8111111111111111
84,1_pos_706,3,10,4,4,6,1.4,0.4666666666666666
85,0_neg_888,18,10,10,0,0,12.4,0.6888888888888889
86,0_neg_719,11,10,10,0,0,9.0,0.8181818181818182
87,1_pos_1057,7,10,10,0,0,5.6,0.7999999999999999
88,0_neg_1455,15,10,10,0,0,12.7,0.8466666666666666
89,0_neg_1253,9,10,10,0,0,7.4,0.8222222222222223
90,0_neg_139,7,10,10,0,0,5.9,0.8428571428571429
91,1_pos_472,5,10,8,1,2,2.6,0.52
92,1_pos_603,4,10,8,0,2,3.0,0.75
93,1_pos_1201,7,10,10,0,0,6.4,0.9142857142857144
94,1_pos_1077,4,10,6,0,4,2.4,0.6
95,0_neg_187,17,10,10,0,0,15.0,0.8823529411764706
96,1_pos_119,18,10,10,0,0,7.3,0.40555555555555556
97,0_neg_1147,20,10,10,0,0,17.7,0.885
98,1_pos_509,5,10,10,0,0,3.1,0.62
99,1_pos_1194,3,10,3,0,7,2.4,0.7999999999999999
100,1_pos_482,11,10,10,0,0,9.8,0.890909090909091
101,1_pos_1138,3,10,1,10,9,0.0,0.0
102,0_neg_76,12,10,10,0,0,9.2,0.7666666666666666
103,1_pos_1101,10,10,10,0,0,8.7,0.8699999999999999
104,1_pos_200,5,10,10,0,0,3.8,0.76
105,1_pos_1363,3,10,3,4,7,1.2,0.39999999999999997
106,0_neg_306,20,10,10,0,0,17.0,0.85
107,1_pos_386,13,10,10,0,0,11.1,0.8538461538461538
108,0_neg_1005,9,10,10,0,0,7.2,0.8
109,1_pos_921,3,10,5,1,5,2.2,0.7333333333333334
110,1_pos_216,13,10,10,0,0,11.4,0.8769230769230769
111,0_neg_996,8,10,10,0,0,7.2,0.9
112,1_pos_1353,3,10,3,2,7,1.6,0.5333333333333333
113,0_neg_669,9,10,10,0,0,7.2,0.8
114,0_neg_684,13,10,10,0,0,11.2,0.8615384615384615
115,0_neg_1021,20,10,10,0,0,15.1,0.755
116,1_pos_1321,3,10,5,3,5,1.7,0.5666666666666667
117,0_neg_169,10,10,10,0,0,7.1,0.71
118,1_pos_383,8,10,10,0,0,6.7,0.8375
119,1_pos_571,3,10,3,4,7,1.2,0.39999999999999997
120,1_pos_1156,3,10,6,2,4,2.0,0.6666666666666666
121,0_neg_628,17,10,10,0,0,14.3,0.8411764705882353
122,1_pos_1394,5,10,8,0,2,3.1,0.62
123,0_neg_472,15,10,10,0,0,13.5,0.9
124,0_neg_758,18,10,10,0,0,15.1,0.8388888888888889
125,1_pos_1158,16,10,10,0,0,12.5,0.78125
126,1_pos_1413,6,10,10,0,0,5.2,0.8666666666666667
127,0_neg_578,14,10,10,0,0,11.3,0.8071428571428572
128,0_neg_246,19,10,10,0,0,16.6,0.8736842105263158
129,0_neg_977,19,10,10,0,0,16.9,0.8894736842105262
130,1_pos_1107,10,10,10,0,0,7.9,0.79
131,1_pos_1217,3,10,5,0,5,2.4,0.7999999999999999
132,1_pos_1406,8,10,10,0,0,6.5,0.8125
133,1_pos_400,16,10,10,0,0,13.8,0.8625
134,1_pos_1388,5,10,10,0,0,4.2,0.8400000000000001
135,1_pos_1115,3,10,4,3,6,1.8,0.6
136,0_neg_777,15,10,10,0,0,12.4,0.8266666666666667
137,1_pos_21,10,10,10,0,0,8.2,0.82
138,1_pos_471,6,10,10,0,0,5.5,0.9166666666666666
139,1_pos_52,3,10,6,3,4,1.6,0.5333333333333333
140,1_pos_1055,10,10,10,0,0,8.7,0.8699999999999999
141,1_pos_803,6,10,10,0,0,5.2,0.8666666666666667
142,1_pos_741,8,10,10,0,0,7.1,0.8875
143,1_pos_957,6,10,10,0,0,4.8,0.7999999999999999
144,1_pos_1270,11,10,10,0,0,9.3,0.8454545454545456
145,0_neg_1284,11,10,10,0,0,9.4,0.8545454545454546
146,0_neg_1302,17,10,10,0,0,15.6,0.9176470588235294
147,0_neg_297,10,10,10,0,0,8.3,0.8300000000000001
148,1_pos_384,6,10,10,0,0,5.4,0.9
149,1_pos_543,4,10,6,2,4,2.1,0.525
150,0_neg_213,7,10,10,1,0,5.4,0.7714285714285715
151,1_pos_594,5,10,9,0,1,4.0,0.8
152,0_neg_647,20,10,10,0,0,17.8,0.89
153,0_neg_85,19,10,10,0,0,16.4,0.863157894736842
154,1_pos_721,16,10,10,0,0,12.4,0.775
155,1_pos_1344,9,10,10,0,0,7.5,0.8333333333333334
156,1_pos_1177,2,10,2,5,8,1.0,0.5
157,1_pos_1455,3,10,3,3,7,1.4,0.4666666666666666
158,0_neg_869,20,10,10,0,0,18.5,0.925
159,0_neg_947,19,10,10,0,0,17.3,0.9105263157894737
160,1_pos_1340,12,10,10,0,0,10.7,0.8916666666666666
161,1_pos_201,13,10,10,0,0,10.2,0.7846153846153846
