model,fold,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
Length LR,1,581,289,292,0.9308906479594256,0.9313318866663957,0.846815834767642,0.8467850879271934,0.8452173913043478,0.8496503496503497,0.8408304498269896,0.8408304498269896,0.8527397260273972,0.6936441571117625,0.10586974701819134,0.343163017882591,249,43,46,243
Length LR,2,543,242,301,0.8900016474012247,0.8893725244360215,0.7992633517495396,0.8027374317014909,0.7875243664717348,0.7453874538745388,0.8347107438016529,0.8347107438016529,0.770764119601329,0.601891141094724,0.14130803433961606,0.43696218212378773,232,69,40,202
Length LR,3,503,264,239,0.9070305566121465,0.9200064225899832,0.8071570576540755,0.80717478128566,0.8145315487571702,0.8223938223938224,0.8068181818181818,0.8068181818181818,0.8075313807531381,0.6138633033235414,0.12414059469021455,0.390053330894463,193,46,51,213
Length LR,4,560,301,259,0.9030900858143384,0.9199419936114567,0.8035714285714286,0.804345874113316,0.8129251700680272,0.8327526132404182,0.7940199335548173,0.7940199335548173,0.8146718146718147,0.6071671578594832,0.12703349252361626,0.40619316777418657,211,48,62,239
Length LR,5,548,263,285,0.9132679607764659,0.915356521172855,0.8302919708029197,0.8297978787272363,0.8221797323135756,0.8269230769230769,0.8174904942965779,0.8174904942965779,0.8421052631578947,0.6599260011828962,0.11898912470237341,0.3699353600749244,240,45,48,215
AAC plus length LR,1,581,289,292,0.943617575958667,0.9511740543216652,0.8691910499139415,0.869205337251742,0.8689655172413793,0.865979381443299,0.8719723183391004,0.8719723183391004,0.8664383561643836,0.7384019244732725,0.09528132574184811,0.3053477808991118,253,39,37,252
AAC plus length LR,2,543,242,301,0.924851047472612,0.9268317265405553,0.8397790055248618,0.8400922544685758,0.8242424242424242,0.8063241106719368,0.8429752066115702,0.8429752066115702,0.8372093023255814,0.6777326493187197,0.11046518709861118,0.34610180085050435,252,49,38,204
AAC plus length LR,3,503,264,239,0.9260808926080892,0.9421117348532575,0.8588469184890656,0.8593888677570687,0.8631984585741811,0.8784313725490196,0.8484848484848485,0.8484848484848485,0.8702928870292888,0.7179589263603446,0.10777955831544431,0.3500630132561533,208,31,40,224
AAC plus length LR,4,560,301,259,0.9311304660141869,0.9497265050456423,0.8553571428571428,0.8568285893867289,0.8615384615384616,0.8873239436619719,0.8372093023255814,0.8372093023255814,0.8764478764478765,0.7117198155984518,0.10501699185555248,0.3358563015560155,227,32,49,252
AAC plus length LR,5,548,263,285,0.9205790140751117,0.9196983686803666,0.8302919708029197,0.8303848976052298,0.8248587570621468,0.8171641791044776,0.8326996197718631,0.8326996197718631,0.8280701754385965,0.6603954525487867,0.11634928333622965,0.3593507089399205,236,49,44,219
