evaluation,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
development grouped OOF,Length LR,2735,1359,1376,0.9069230004106987,0.9211010666450927,0.8179159049360146,0.8179179607953865,0.8170462894930198,0.8158473954512105,0.8182487122884474,0.8182487122884474,0.8175872093023255,0.63582708120006,0.1232278248421515,0.38867925228428524,1125,251,247,1112
released test,Length LR,302,150,152,0.8860964912280701,0.9059398642169844,0.7781456953642384,0.7780701754385966,0.7744107744107744,0.782312925170068,0.7666666666666667,0.7666666666666667,0.7894736842105263,0.5563233820984976,0.13783649747852428,0.43652351589170285,120,32,35,115
development grouped OOF,AAC plus length LR,2735,1359,1376,0.9291448482981672,0.9378968235346299,0.8508226691042048,0.8507987234115372,0.8494464944649447,0.8519615099925981,0.8469462840323767,0.8469462840323767,0.8546511627906976,0.7016349687339672,0.10680917272050873,0.3387297080813521,1176,200,208,1151
released test,AAC plus length LR,302,150,152,0.9047368421052632,0.920332308399459,0.8344370860927153,0.8342982456140351,0.8299319727891157,0.8472222222222222,0.8133333333333334,0.8133333333333334,0.8552631578947368,0.6693013902021591,0.12484609694049503,0.39683025318039583,130,22,28,122
development grouped OOF,AAC plus DPC plus length LR,2735,1359,1376,0.8885263189417665,0.9043925620998428,0.8171846435100548,0.8169593964440337,0.8093058733790999,0.8400633412509897,0.7807211184694628,0.7807211184694628,0.8531976744186046,0.6357655509571273,0.15175588307077953,0.7554047905444238,1174,202,298,1061
released test,AAC plus DPC plus length LR,302,150,152,0.9251754385964913,0.933433565793079,0.8410596026490066,0.8408333333333333,0.8344827586206897,0.8642857142857143,0.8066666666666666,0.8066666666666666,0.875,0.6834676385415541,0.11809564991915975,0.47058967885994485,133,19,29,121
development grouped OOF,AAC plus DPC plus length RF,2735,1359,1376,0.9528343558019747,0.9575432159803008,0.8789762340036563,0.8786511007580814,0.8715560729530462,0.9220032840722496,0.8263428991905813,0.8263428991905813,0.9309593023255814,0.761853961457147,0.09050890822671226,0.3014490678537554,1281,95,236,1123
released test,AAC plus DPC plus length RF,302,150,152,0.9675877192982456,0.9715120078751365,0.9039735099337748,0.9037719298245614,0.9003436426116839,0.9290780141843972,0.8733333333333333,0.8733333333333333,0.9342105263157895,0.8093028101089685,0.07515980132454966,0.2557624619084476,142,10,19,131
development grouped OOF,ECFP4 count LightGBM,2735,1359,1376,0.9650772413025993,0.9686914733281268,0.8979890310786106,0.8978600886424697,0.8952309425460008,0.9141104294478528,0.8771155261221486,0.8771155261221486,0.9186046511627907,0.7965640522605885,0.08828901079535217,0.530175354207672,1264,112,167,1192
released test,ECFP4 count LightGBM,302,150,152,0.9702192982456139,0.9737496894481643,0.9105960264900662,0.910438596491228,0.9078498293515358,0.9300699300699301,0.8866666666666667,0.8866666666666667,0.9342105263157895,0.8220136553424212,0.07505326173087254,0.4647399099776098,142,10,17,133
development grouped OOF,Character 1-3-mer LR,2735,1359,1376,0.9542119076954669,0.959955477605267,0.8888482632541134,0.888843968718449,0.8881530537159676,0.8881530537159676,0.8881530537159676,0.8881530537159676,0.8895348837209303,0.7776879374368979,0.08272083019388425,0.2863539799460793,1224,152,152,1207
released test,Character 1-3-mer LR,302,150,152,0.9642543859649122,0.9695945582950412,0.9139072847682119,0.913859649122807,0.912751677852349,0.918918918918919,0.9066666666666666,0.9066666666666666,0.9210526315789473,0.8278645503829515,0.07160013693490021,0.24753148899292923,140,12,14,136
