seed,fold,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
70877,1,Molecular branch,608,302,306,0.9362095831710168,0.946953929883577,0.8700657894736842,0.8701359130848807,0.8707037643207856,0.86084142394822,0.8807947019867549,0.8807947019867549,0.8594771241830066,0.7403559513826341,0.11432057214000159,0.7186251519940874,263,43,36,266
70877,1,Contextual branch,608,302,306,0.9806843267108168,0.9789118719801888,0.9210526315789473,0.9209626455438688,0.9194630872483222,0.9319727891156463,0.9072847682119205,0.9072847682119205,0.934640522875817,0.8423629390918687,0.06093144529223353,0.26498681166177523,286,20,28,274
70877,1,Equal probability mean,608,302,306,0.9733476171925723,0.9754423886393094,0.9226973684210527,0.9225533480500367,0.9204737732656514,0.9411764705882353,0.9006622516556292,0.9006622516556292,0.9444444444444444,0.8461190334406021,0.0632190356548974,0.2334481106258323,289,17,30,272
70877,1,Equal logit mean,608,302,306,0.97951564731853,0.9803858581104874,0.9226973684210527,0.9225533480500367,0.9204737732656514,0.9411764705882353,0.9006622516556292,0.9006622516556292,0.9444444444444444,0.8461190334406021,0.06465272372023004,0.2841892675757292,289,17,30,272
70877,1,Learned convex probability mean,608,302,306,0.9776111327533221,0.9788850555846291,0.9276315789473685,0.927498593256287,0.9256756756756757,0.9448275862068966,0.9072847682119205,0.9072847682119205,0.9477124183006536,0.8558867663463966,0.05667871392853021,0.21615968744405806,290,16,28,274
70877,1,Nested logistic fusion,608,302,306,0.9846448513180106,0.9839507557051381,0.9358552631578947,0.9357334545297148,0.9342327150084317,0.9518900343642611,0.9172185430463576,0.9172185430463576,0.954248366013072,0.872245946849771,0.04953308225934105,0.1654019232230367,292,14,25,277
70877,1,Feature concatenation LR,608,302,306,0.9833138553434619,0.9823132465727471,0.9358552631578947,0.9358200233735878,0.9351081530782029,0.939799331103679,0.9304635761589404,0.9304635761589404,0.9411764705882353,0.8717391007728574,0.052717585171335644,0.1938488887884877,288,18,21,281
70877,2,Molecular branch,608,302,306,0.9720815478509285,0.9758621130755479,0.9161184210526315,0.9160174003376185,0.9142857142857143,0.9283276450511946,0.9006622516556292,0.9006622516556292,0.9313725490196079,0.8325620082152231,0.07473366157908849,0.4257281543441328,285,21,30,272
70877,2,Contextual branch,608,302,306,0.9848179890057569,0.9855585829784379,0.9276315789473685,0.9277366575769381,0.9283387622149837,0.9134615384615384,0.9437086092715232,0.9437086092715232,0.9117647058823529,0.8557511654698042,0.06209217548708746,0.2879663771478955,279,27,17,285
70877,2,Equal probability mean,608,302,306,0.9845582824741376,0.985935021862523,0.9325657894736842,0.9324871228844739,0.931323283082077,0.9423728813559322,0.9205298013245033,0.9205298013245033,0.9444444444444444,0.8653348302564903,0.051466268167305235,0.18861789354262348,289,17,24,278
70877,2,Equal logit mean,608,302,306,0.9860515950309483,0.9872040601237599,0.9325657894736842,0.9324871228844739,0.931323283082077,0.9423728813559322,0.9205298013245033,0.9205298013245033,0.9444444444444444,0.8653348302564903,0.056526349035301286,0.249013086108011,289,17,24,278
70877,2,Learned convex probability mean,608,302,306,0.9854239709128685,0.9866995399491247,0.9276315789473685,0.9277366575769381,0.9283387622149837,0.9134615384615384,0.9437086092715232,0.9437086092715232,0.9117647058823529,0.8557511654698042,0.05276004221390255,0.19136001370991546,279,27,17,285
70877,2,Nested logistic fusion,608,302,306,0.9875124442713068,0.988313147932389,0.9243421052631579,0.9244470415097606,0.9250814332247557,0.9102564102564102,0.9403973509933775,0.9403973509933775,0.9084967320261438,0.8491697964578931,0.04775078100745029,0.15130576523626652,278,28,18,284
70877,2,Feature concatenation LR,608,302,306,0.9877288663809896,0.9883073335332806,0.9292763157894737,0.9293706445050427,0.9298531810766721,0.9163987138263665,0.9437086092715232,0.9437086092715232,0.9150326797385621,0.8589504473269969,0.05259731976036734,0.18064194304582318,280,26,17,285
70877,3,Molecular branch,608,302,306,0.9544323248063021,0.9607089247462046,0.8881578947368421,0.8880664848720945,0.8859060402684564,0.8979591836734694,0.8741721854304636,0.8741721854304636,0.9019607843137255,0.7765364177089249,0.09791656303854875,0.6137761344376532,276,30,38,264
70877,3,Contextual branch,608,302,306,0.9772540362723456,0.975445578189957,0.9226973684210527,0.9228346967926244,0.9238249594813615,0.9047619047619048,0.9437086092715232,0.9437086092715232,0.9019607843137255,0.8462052404996707,0.062345355069661275,0.3107738681643759,276,30,17,285
70877,3,Equal probability mean,608,302,306,0.9773838895381552,0.97744335932455,0.9226973684210527,0.9225533480500367,0.9204737732656514,0.9411764705882353,0.9006622516556292,0.9006622516556292,0.9444444444444444,0.8461190334406021,0.059761234800554085,0.24829513759585503,289,17,30,272
70877,3,Equal logit mean,608,302,306,0.9785201056139896,0.9782351145158918,0.9226973684210527,0.9225533480500367,0.9204737732656514,0.9411764705882353,0.9006622516556292,0.9006622516556292,0.9444444444444444,0.8461190334406021,0.0656268509630675,0.31758694358782585,289,17,30,272
70877,3,Learned convex probability mean,608,302,306,0.9788988443059342,0.9784925243096837,0.9276315789473685,0.9277366575769381,0.9283387622149837,0.9134615384615384,0.9437086092715232,0.9437086092715232,0.9117647058823529,0.8557511654698042,0.05589317688857757,0.23657840007497116,279,27,17,285
70877,3,Nested logistic fusion,608,302,306,0.980229840280483,0.9792117188365231,0.9210526315789473,0.9211357832316149,0.9215686274509803,0.9096774193548387,0.9337748344370861,0.9337748344370861,0.9084967320261438,0.8424174332983648,0.05353598390934295,0.1813718683202105,278,28,20,282
70877,3,Feature concatenation LR,608,302,306,0.9821884603731117,0.9816430188417908,0.9325657894736842,0.9327251872051249,0.9337641357027464,0.9116719242902208,0.956953642384106,0.956953642384106,0.9084967320261438,0.8662240337888467,0.05336626711882899,0.21246743278912184,278,28,13,289
70877,4,Molecular branch,606,301,305,0.9615707205489897,0.9640530480027475,0.8894389438943895,0.8893796634170252,0.8877721943048577,0.8952702702702703,0.8803986710963455,0.8803986710963455,0.898360655737705,0.7789502590172457,0.09415183909585985,0.6293720965304102,274,31,36,265
70877,4,Contextual branch,606,301,305,0.9796089537606884,0.9793874444008606,0.9257425742574258,0.925728446163063,0.9251247920133111,0.9266666666666666,0.9235880398671097,0.9235880398671097,0.9278688524590164,0.8514800798342613,0.06479535969801407,0.30904269641487847,283,22,23,278
70877,4,Equal probability mean,606,301,305,0.9770273950220577,0.9778766610302929,0.929042904290429,0.928898208158597,0.9269949066213922,0.9479166666666666,0.9069767441860465,0.9069767441860465,0.9508196721311475,0.8588307606449465,0.06173398451507647,0.2739529255924721,290,15,28,273
70877,4,Equal logit mean,606,301,305,0.979510919884538,0.9796367645547324,0.929042904290429,0.928898208158597,0.9269949066213922,0.9479166666666666,0.9069767441860465,0.9069767441860465,0.9508196721311475,0.8588307606449465,0.06546435506656108,0.3485801710690689,290,15,28,273
70877,4,Learned convex probability mean,606,301,305,0.9785196884701269,0.9791693795521843,0.929042904290429,0.9290071346876532,0.9282136894824707,0.9328859060402684,0.9235880398671097,0.9235880398671097,0.9344262295081968,0.8581124197562923,0.058955267300200453,0.2615898817906399,285,20,23,278
70877,4,Nested logistic fusion,606,301,305,0.981460704754643,0.9814811136798235,0.9257425742574258,0.925728446163063,0.9251247920133111,0.9266666666666666,0.9235880398671097,0.9235880398671097,0.9278688524590164,0.8514800798342613,0.053367817219963004,0.17677791753536906,283,22,23,278
70877,4,Feature concatenation LR,606,301,305,0.9841729753281412,0.9844841670770607,0.9273927392739274,0.9274331463427918,0.9273927392739274,0.921311475409836,0.9335548172757475,0.9335548172757475,0.921311475409836,0.8548662926855836,0.05508089299572685,0.19964991021362227,281,24,20,281
70877,5,Molecular branch,607,302,305,0.9413527304310065,0.9509052682801417,0.8846787479406919,0.884708500705678,0.8848684210526315,0.8790849673202614,0.890728476821192,0.890728476821192,0.8786885245901639,0.7694337084369133,0.10604686043345028,0.7290156430709377,268,37,33,269
70877,5,Contextual branch,607,302,305,0.9720225816957985,0.9748594594150675,0.9060955518945635,0.9060525458690696,0.9048414023372288,0.9124579124579124,0.8973509933774835,0.8973509933774835,0.9147540983606557,0.8122814829417263,0.08393572456370096,0.3867344435285185,279,26,31,271
70877,5,Equal probability mean,607,302,305,0.9653892085549887,0.9706162555651455,0.9126853377265239,0.9126262077950278,0.9112227805695142,0.9220338983050848,0.9006622516556292,0.9006622516556292,0.9245901639344263,0.8255661742255738,0.07617546119911396,0.32839764396503557,282,23,30,272
70877,5,Equal logit mean,607,302,305,0.9677885137335795,0.9729635280263645,0.9126853377265239,0.9126262077950278,0.9112227805695142,0.9220338983050848,0.9006622516556292,0.9006622516556292,0.9245901639344263,0.8255661742255738,0.07665257559176256,0.42495457682654053,282,23,30,272
70877,5,Learned convex probability mean,607,302,305,0.9672565410921724,0.9720413248645761,0.9077429983525536,0.9076756052545869,0.9060402684563759,0.9183673469387755,0.8940397350993378,0.8940397350993378,0.921311475409836,0.8157409747014236,0.07543654951749457,0.31768948903459787,281,24,32,270
70877,5,Nested logistic fusion,607,302,305,0.9743241776137227,0.9772963159220558,0.914332784184514,0.9143144066876561,0.9136212624584718,0.9166666666666666,0.9105960264900662,0.9105960264900662,0.9180327868852459,0.8286737974318787,0.06574202522819948,0.21208017809678553,280,25,27,275
70877,5,Feature concatenation LR,607,302,305,0.9733145152535012,0.9772997322390149,0.9225700164744646,0.9225599826294648,0.9220563847429519,0.9235880398671097,0.9205298013245033,0.9205298013245033,0.9245901639344263,0.8451383160892759,0.06414433602178864,0.28257086617124066,282,23,24,278
