group_index,group_id,size,first_index,minimum_length,maximum_length,negative_n,positive_n
0,SW60C80_00000,4,0,4,4,0,4
1,SW60C80_00001,1,1,3,3,0,1
2,SW60C80_00002,2,2,8,10,0,2
3,SW60C80_00003,53,3,3,3,0,53
4,SW60C80_00004,43,4,4,12,2,41
5,SW60C80_00005,1,5,12,12,0,1
6,SW60C80_00006,2,6,4,4,0,2
7,SW60C80_00007,1,7,9,9,0,1
8,SW60C80_00008,3,8,4,6,0,3
9,SW60C80_00009,11,9,14,14,0,11
10,SW60C80_00010,5,11,4,5,0,5
11,SW60C80_00011,32,13,3,3,0,32
12,SW60C80_00012,4,14,4,5,0,4
13,SW60C80_00013,33,15,4,8,1,32
14,SW60C80_00014,2,16,4,4,0,2
15,SW60C80_00015,12,17,3,3,0,12
16,SW60C80_00016,1,20,8,8,0,1
17,SW60C80_00017,15,21,9,17,0,15
18,SW60C80_00018,1,22,9,9,0,1
19,SW60C80_00019,1,25,11,11,0,1
20,SW60C80_00020,1,26,7,7,0,1
21,SW60C80_00021,1,27,9,9,0,1
22,SW60C80_00022,2,28,9,10,0,2
23,SW60C80_00023,114,30,3,3,0,114
24,SW60C80_00024,1,31,7,7,0,1
25,SW60C80_00025,1,32,10,10,0,1
26,SW60C80_00026,1,33,6,6,0,1
27,SW60C80_00027,1,34,3,3,0,1
28,SW60C80_00028,3,35,8,10,0,3
29,SW60C80_00029,1,36,7,7,0,1
30,SW60C80_00030,1,38,7,7,0,1
31,SW60C80_00031,3,39,5,6,0,3
32,SW60C80_00032,2,40,14,15,0,2
33,SW60C80_00033,2,41,3,3,0,2
34,SW60C80_00034,12,42,3,3,0,12
35,SW60C80_00035,2,43,4,5,0,2
36,SW60C80_00036,1,45,5,5,0,1
37,SW60C80_00037,7,46,5,7,0,7
38,SW60C80_00038,2,47,5,5,0,2
39,SW60C80_00039,1,48,10,10,0,1
40,SW60C80_00040,12,50,4,7,0,12
41,SW60C80_00041,2,52,5,6,0,2
42,SW60C80_00042,5,53,4,6,0,5
43,SW60C80_00043,2,54,10,10,0,2
44,SW60C80_00044,11,55,4,6,0,11
45,SW60C80_00045,56,56,5,14,48,8
46,SW60C80_00046,1,57,3,3,0,1
47,SW60C80_00047,1,59,3,3,0,1
48,SW60C80_00048,31,60,4,7,0,31
49,SW60C80_00049,1,62,8,8,0,1
50,SW60C80_00050,1,64,3,3,0,1
51,SW60C80_00051,1,66,8,8,0,1
52,SW60C80_00052,1,67,4,4,0,1
53,SW60C80_00053,171,68,6,16,146,25
54,SW60C80_00054,1,69,7,7,0,1
55,SW60C80_00055,4,71,4,5,0,4
56,SW60C80_00056,1,72,7,7,0,1
57,SW60C80_00057,3,73,3,3,0,3
58,SW60C80_00058,1,74,12,12,0,1
59,SW60C80_00059,3,76,4,5,0,3
60,SW60C80_00060,1,79,4,4,0,1
61,SW60C80_00061,1,80,4,4,0,1
62,SW60C80_00062,3,82,5,5,0,3
63,SW60C80_00063,1,84,4,4,0,1
64,SW60C80_00064,1,87,5,5,0,1
65,SW60C80_00065,1,88,5,5,0,1
66,SW60C80_00066,4,91,3,3,0,4
67,SW60C80_00067,4,92,5,7,0,4
68,SW60C80_00068,4,94,3,3,0,4
69,SW60C80_00069,1,96,10,10,0,1
70,SW60C80_00070,1,98,5,5,0,1
71,SW60C80_00071,1,99,9,9,0,1
72,SW60C80_00072,2,100,4,5,0,2
73,SW60C80_00073,5,101,5,7,0,5
74,SW60C80_00074,1,102,13,13,0,1
75,SW60C80_00075,1,103,3,3,0,1
76,SW60C80_00076,1,104,6,6,0,1
77,SW60C80_00077,1,105,8,8,0,1
78,SW60C80_00078,1,106,11,11,0,1
79,SW60C80_00079,28,107,4,8,0,28
80,SW60C80_00080,1,109,11,11,0,1
81,SW60C80_00081,2,110,9,10,0,2
82,SW60C80_00082,1,111,4,4,0,1
83,SW60C80_00083,2,112,9,10,0,2
84,SW60C80_00084,2,114,3,3,0,2
85,SW60C80_00085,1,115,2,2,0,1
86,SW60C80_00086,1,116,4,4,0,1
87,SW60C80_00087,1,117,7,7,0,1
88,SW60C80_00088,1,120,6,6,0,1
89,SW60C80_00089,1,121,7,7,0,1
90,SW60C80_00090,1,122,9,9,0,1
91,SW60C80_00091,1,124,9,9,0,1
92,SW60C80_00092,1,125,4,4,0,1
93,SW60C80_00093,1,127,16,16,0,1
94,SW60C80_00094,2,128,4,4,0,2
95,SW60C80_00095,1,129,5,5,0,1
96,SW60C80_00096,5,130,3,3,0,5
97,SW60C80_00097,1,131,4,4,0,1
98,SW60C80_00098,1,132,10,10,0,1
99,SW60C80_00099,1,133,5,5,0,1
100,SW60C80_00100,4,134,8,11,0,4
101,SW60C80_00101,1,135,12,12,0,1
102,SW60C80_00102,1,136,2,2,0,1
103,SW60C80_00103,2,138,4,5,0,2
104,SW60C80_00104,1,139,2,2,0,1
105,SW60C80_00105,1,140,9,9,0,1
106,SW60C80_00106,1,141,5,5,0,1
107,SW60C80_00107,1,145,10,10,0,1
108,SW60C80_00108,3,146,4,4,2,1
109,SW60C80_00109,1,147,12,12,0,1
110,SW60C80_00110,2,148,3,3,0,2
111,SW60C80_00111,1,149,4,4,0,1
112,SW60C80_00112,2,151,8,9,0,2
113,SW60C80_00113,2,152,12,14,0,2
114,SW60C80_00114,2,154,3,3,0,2
115,SW60C80_00115,1,155,6,6,0,1
116,SW60C80_00116,8,158,3,3,0,8
117,SW60C80_00117,1,159,5,5,0,1
118,SW60C80_00118,2,160,4,5,0,2
119,SW60C80_00119,1,161,13,13,0,1
120,SW60C80_00120,1,162,6,6,0,1
121,SW60C80_00121,12,164,3,3,0,12
122,SW60C80_00122,2,165,4,5,0,2
123,SW60C80_00123,1,166,5,5,0,1
124,SW60C80_00124,2,167,11,13,0,2
125,SW60C80_00125,2,168,4,5,0,2
126,SW60C80_00126,1,169,7,7,0,1
127,SW60C80_00127,1,170,8,8,0,1
128,SW60C80_00128,1,171,3,3,0,1
129,SW60C80_00129,1,172,11,11,0,1
130,SW60C80_00130,1,175,9,9,0,1
131,SW60C80_00131,1,177,3,3,0,1
132,SW60C80_00132,1,178,2,2,0,1
133,SW60C80_00133,1,180,5,5,0,1
134,SW60C80_00134,1,181,13,13,0,1
135,SW60C80_00135,1,183,9,9,0,1
136,SW60C80_00136,1,184,8,8,0,1
137,SW60C80_00137,2,186,5,6,0,2
138,SW60C80_00138,1,187,10,10,0,1
139,SW60C80_00139,3,188,4,5,0,3
140,SW60C80_00140,3,189,6,8,0,3
141,SW60C80_00141,1,191,9,9,0,1
142,SW60C80_00142,1,192,8,8,0,1
143,SW60C80_00143,1,194,6,6,0,1
144,SW60C80_00144,1,195,4,4,0,1
145,SW60C80_00145,1,196,4,4,0,1
146,SW60C80_00146,1,197,3,3,0,1
147,SW60C80_00147,1,198,7,7,0,1
148,SW60C80_00148,1,202,4,4,0,1
149,SW60C80_00149,1,203,6,6,0,1
150,SW60C80_00150,1,204,5,5,0,1
151,SW60C80_00151,1,205,7,7,0,1
152,SW60C80_00152,1,206,9,9,0,1
153,SW60C80_00153,1,208,2,2,0,1
154,SW60C80_00154,1,209,10,10,0,1
155,SW60C80_00155,1,211,2,2,0,1
156,SW60C80_00156,1,212,4,4,0,1
157,SW60C80_00157,2,214,5,5,0,2
158,SW60C80_00158,1,215,15,15,0,1
159,SW60C80_00159,1,216,6,6,0,1
160,SW60C80_00160,1,217,9,9,0,1
161,SW60C80_00161,1,218,4,4,0,1
162,SW60C80_00162,2,219,17,18,0,2
163,SW60C80_00163,1,221,12,12,0,1
164,SW60C80_00164,2,224,7,8,0,2
165,SW60C80_00165,1,225,4,4,0,1
166,SW60C80_00166,1,226,4,4,0,1
