group_index,group_id,size,first_index,minimum_length,maximum_length,negative_n,positive_n
0,SW60C80_00000,1,0,11,11,0,1
1,SW60C80_00001,1,1,3,3,1,0
2,SW60C80_00002,1,2,17,17,0,1
3,SW60C80_00003,1,3,7,7,1,0
4,SW60C80_00004,1,4,14,14,0,1
5,SW60C80_00005,1,5,11,11,0,1
6,SW60C80_00006,1,6,10,10,0,1
7,SW60C80_00007,2,7,4,4,2,0
8,SW60C80_00008,1,8,17,17,1,0
9,SW60C80_00009,1,9,5,5,1,0
10,SW60C80_00010,1,10,13,13,0,1
11,SW60C80_00011,1,11,12,12,0,1
12,SW60C80_00012,1,12,4,4,1,0
13,SW60C80_00013,1,13,14,14,0,1
14,SW60C80_00014,1,14,10,10,1,0
15,SW60C80_00015,1,15,4,4,1,0
16,SW60C80_00016,2,16,3,3,2,0
17,SW60C80_00017,2,17,8,8,0,2
18,SW60C80_00018,2,18,6,6,2,0
19,SW60C80_00019,1,19,2,2,1,0
20,SW60C80_00020,7,20,3,3,7,0
21,SW60C80_00021,4,21,3,4,3,1
22,SW60C80_00022,1,22,5,5,0,1
23,SW60C80_00023,1,23,8,8,0,1
24,SW60C80_00024,1,24,13,13,1,0
25,SW60C80_00025,1,25,6,6,1,0
26,SW60C80_00026,1,26,5,5,0,1
27,SW60C80_00027,2,27,9,9,0,2
28,SW60C80_00028,1,28,14,14,0,1
29,SW60C80_00029,1,29,6,6,1,0
30,SW60C80_00030,4,30,4,5,0,4
31,SW60C80_00031,1,31,5,5,0,1
32,SW60C80_00032,1,32,13,13,0,1
33,SW60C80_00033,1,33,2,2,1,0
34,SW60C80_00034,32,34,3,3,8,24
35,SW60C80_00035,1,35,9,9,1,0
36,SW60C80_00036,1,36,4,4,1,0
37,SW60C80_00037,1,37,5,5,1,0
38,SW60C80_00038,1,38,4,4,0,1
39,SW60C80_00039,1,39,11,11,0,1
40,SW60C80_00040,1,40,12,12,0,1
41,SW60C80_00041,4,41,5,6,3,1
42,SW60C80_00042,2,42,3,3,1,1
43,SW60C80_00043,4,43,7,9,0,4
44,SW60C80_00044,1,44,9,9,0,1
45,SW60C80_00045,1,45,2,2,0,1
46,SW60C80_00046,3,46,3,3,2,1
47,SW60C80_00047,1,47,11,11,0,1
48,SW60C80_00048,1,48,20,20,1,0
49,SW60C80_00049,1,49,1,1,0,1
50,SW60C80_00050,1,50,5,5,0,1
51,SW60C80_00051,1,51,7,7,0,1
52,SW60C80_00052,1,52,5,5,1,0
53,SW60C80_00053,4,53,3,3,2,2
54,SW60C80_00054,1,54,3,3,0,1
55,SW60C80_00055,7,55,3,3,7,0
56,SW60C80_00056,3,56,3,3,0,3
57,SW60C80_00057,3,57,3,3,2,1
58,SW60C80_00058,1,58,12,12,1,0
59,SW60C80_00059,4,59,3,3,1,3
60,SW60C80_00060,1,60,12,12,1,0
61,SW60C80_00061,1,61,9,9,1,0
62,SW60C80_00062,5,62,4,6,0,5
63,SW60C80_00063,2,63,5,6,1,1
64,SW60C80_00064,1,64,13,13,0,1
65,SW60C80_00065,3,66,3,3,2,1
66,SW60C80_00066,3,67,3,3,0,3
67,SW60C80_00067,2,68,3,3,0,2
68,SW60C80_00068,1,69,7,7,1,0
69,SW60C80_00069,2,70,3,3,2,0
70,SW60C80_00070,1,71,3,3,0,1
71,SW60C80_00071,1,72,10,10,0,1
72,SW60C80_00072,1,73,3,3,0,1
73,SW60C80_00073,1,74,4,4,1,0
74,SW60C80_00074,2,75,3,3,2,0
75,SW60C80_00075,2,76,9,10,0,2
76,SW60C80_00076,1,77,7,7,0,1
77,SW60C80_00077,1,78,1,1,0,1
78,SW60C80_00078,1,79,16,16,0,1
79,SW60C80_00079,1,80,6,6,1,0
80,SW60C80_00080,1,81,4,4,1,0
81,SW60C80_00081,11,82,3,3,7,4
82,SW60C80_00082,1,83,7,7,1,0
83,SW60C80_00083,1,84,5,5,1,0
84,SW60C80_00084,2,85,5,5,0,2
85,SW60C80_00085,1,86,8,8,1,0
86,SW60C80_00086,1,87,8,8,1,0
87,SW60C80_00087,5,88,3,3,5,0
88,SW60C80_00088,2,89,11,12,0,2
