dataset,protocol,evaluation,model,n,positive,negative,AUC,AUPRC,ACC,Balanced_ACC,F1,Precision,Recall,Sensitivity,Specificity,MCC,Brier,LogLoss,TN,FP,FN,TP
AOPP,exact_overlap_only,training grouped OOF,Length LR,1678,838,840,0.4856304693715195,0.5093867769565124,0.50119189511323,0.5010086373451529,0.41014799154334036,0.5008605851979346,0.34725536992840095,0.34725536992840095,0.6547619047619048,0.002119997320682582,0.2501413261822482,0.6934109761714198,550,290,547,291
AOPP,exact_overlap_only,training grouped OOF,AAC plus DPC plus length RF,1678,838,840,0.9371874644846006,0.951880205670893,0.8855780691299165,0.885526764405046,0.8802992518703242,0.9216710182767625,0.8424821002386634,0.8424821002386634,0.9285714285714286,0.7739882674758037,0.10303070798569845,0.34714723917146934,780,60,132,706
AOPP,exact_overlap_only,training grouped OOF,Molecular ECFP4 branch,1678,838,840,0.9332978179338561,0.9489099295655117,0.8682955899880811,0.8682719627230366,0.8654899573950091,0.8832298136645963,0.8484486873508353,0.8484486873508353,0.888095238095238,0.7371489349331362,0.11304149856486193,0.6788017556961174,746,94,127,711
AOPP,exact_overlap_only,training grouped OOF,Contextual peptide-adapted ESM-2 branch,1678,838,840,0.8893865780202294,0.9057782234565351,0.8069129916567342,0.8069070348903284,0.8057553956834532,0.8096385542168675,0.801909307875895,0.801909307875895,0.8119047619047619,0.6138489525170121,0.15883938004149387,0.7679241966580489,682,158,166,672
AOPP,exact_overlap_only,training grouped OOF,Equal probability mean,1678,838,840,0.9283128764632345,0.9428238801032605,0.8772348033373063,0.8772090578474827,0.874390243902439,0.8940149625935162,0.8556085918854416,0.8556085918854416,0.8988095238095238,0.7551522550008056,0.10423444676205157,0.4655817865193006,755,85,121,717
AOPP,exact_overlap_only,training grouped OOF,Equal logit mean,1678,838,840,0.9368479372655985,0.9513284152915692,0.8772348033373063,0.8772090578474827,0.874390243902439,0.8940149625935162,0.8556085918854416,0.8556085918854416,0.8988095238095238,0.7551522550008056,0.10228009197353581,0.5228189267775646,755,85,121,717
AOPP,exact_overlap_only,external test,Length LR,606,414,192,0.5967504528985506,0.7130897797755386,0.4603960396039604,0.5352506038647343,0.4559068219633943,0.732620320855615,0.3309178743961353,0.3309178743961353,0.7395833333333334,0.07101000233836803,0.24983927411591755,0.6928239018618498,142,50,277,137
AOPP,exact_overlap_only,external test,AAC plus DPC plus length RF,606,414,192,0.8120156501610306,0.9232156541323693,0.731023102310231,0.7905721618357489,0.7613469985358712,0.966542750929368,0.6280193236714976,0.6280193236714976,0.953125,0.5441814013225535,0.19813891089109573,0.5978635058329329,183,9,154,260
AOPP,exact_overlap_only,external test,Molecular ECFP4 branch,606,414,192,0.7974537037037037,0.9160613217556227,0.7128712871287128,0.7633227657004831,0.7485549132947977,0.9316546762589928,0.6256038647342995,0.6256038647342995,0.9010416666666666,0.4917109373821711,0.26072989309199074,2.113528636320482,173,19,155,259
AOPP,exact_overlap_only,external test,Contextual peptide-adapted ESM-2 branch,606,414,192,0.7163471215780999,0.8733574124487148,0.6534653465346535,0.6821407004830917,0.704225352112676,0.8445945945945946,0.6038647342995169,0.6038647342995169,0.7604166666666666,0.33904791703141207,0.3118586148013944,2.1324312607090237,146,46,164,250
AOPP,exact_overlap_only,external test,Equal probability mean,606,414,192,0.7679775563607085,0.9035614626699104,0.7145214521452146,0.7547554347826086,0.7553041018387553,0.9112627986348123,0.644927536231884,0.644927536231884,0.8645833333333334,0.47434929489477146,0.2519902767447266,1.6100184812911447,166,26,147,267
AOPP,exact_overlap_only,external test,Equal logit mean,606,414,192,0.7782055152979066,0.9088667761603029,0.7145214521452146,0.7547554347826086,0.7553041018387553,0.9112627986348123,0.644927536231884,0.644927536231884,0.8645833333333334,0.47434929489477146,0.26098425175879086,1.8916242924480928,166,26,147,267
AOPP,exact_overlap_only,external test,Cross-fitted logistic fusion,606,414,192,0.7875779991948472,0.9130795090368644,0.7211221122112211,0.766568538647343,0.7589158345221113,0.926829268292683,0.642512077294686,0.642512077294686,0.890625,0.49676773627286724,0.2193202403487985,0.7346986721494022,171,21,148,266
AOPP,identity60_coverage80,training grouped OOF,Length LR,1345,661,684,0.4830046624377383,0.5056288547891427,0.4988847583643123,0.49436327202271946,0.310838445807771,0.4794952681388013,0.22995461422087746,0.22995461422087746,0.7587719298245614,-0.013278825523460984,0.24985270511704188,0.6928297739416048,519,165,509,152
AOPP,identity60_coverage80,training grouped OOF,AAC plus DPC plus length RF,1345,661,684,0.9431593987490157,0.9539430228336785,0.8802973977695168,0.8794866010209589,0.8723235527359239,0.9166666666666666,0.8320726172465961,0.8320726172465961,0.9269005847953217,0.7633108946430183,0.10257286840148921,0.3482795991302872,634,50,111,550
AOPP,identity60_coverage80,training grouped OOF,Molecular ECFP4 branch,1345,661,684,0.9362984490980351,0.9490041729312875,0.8684014869888476,0.8679687430881793,0.8628969790859798,0.8841269841269841,0.8426626323751891,0.8426626323751891,0.8932748538011696,0.737303694297238,0.11235487337886162,0.6581123598349096,611,73,104,557
AOPP,identity60_coverage80,training grouped OOF,Contextual peptide-adapted ESM-2 branch,1345,661,684,0.896327113800639,0.9098128697800248,0.820817843866171,0.8205746653572914,0.8156082631981637,0.8250773993808049,0.8063540090771558,0.8063540090771558,0.8347953216374269,0.6415538668963642,0.14738891638006366,0.6909612191588488,571,113,128,533
AOPP,identity60_coverage80,training grouped OOF,Equal probability mean,1345,661,684,0.9337305694897859,0.9464885068026693,0.8788104089219331,0.878278967716821,0.872954014029618,0.9003215434083601,0.8472012102874432,0.8472012102874432,0.9093567251461988,0.7585891565356109,0.09966783691690906,0.41635935892257137,622,62,101,560
