group_index,group_id,size,first_index,minimum_length,maximum_length,negative_n,positive_n
0,SW60C80_00000,1,0,11,11,0,1
1,SW60C80_00001,2,1,3,3,2,0
2,SW60C80_00002,1,2,17,17,0,1
3,SW60C80_00003,2,3,3,3,2,0
4,SW60C80_00004,1,4,14,14,0,1
5,SW60C80_00005,1,5,10,10,0,1
6,SW60C80_00006,1,6,17,17,1,0
7,SW60C80_00007,2,7,10,11,0,2
8,SW60C80_00008,3,8,4,4,0,3
9,SW60C80_00009,1,9,13,13,0,1
10,SW60C80_00010,1,10,12,12,0,1
11,SW60C80_00011,1,11,4,4,1,0
12,SW60C80_00012,1,12,14,14,0,1
13,SW60C80_00013,1,13,10,10,1,0
14,SW60C80_00014,3,14,3,3,3,0
15,SW60C80_00015,2,15,8,8,0,2
16,SW60C80_00016,1,16,6,6,0,1
17,SW60C80_00017,2,17,6,6,2,0
18,SW60C80_00018,1,18,2,2,1,0
19,SW60C80_00019,18,19,3,3,14,4
20,SW60C80_00020,3,20,3,4,2,1
21,SW60C80_00021,1,21,11,11,1,0
22,SW60C80_00022,1,22,5,5,0,1
23,SW60C80_00023,1,23,8,8,0,1
24,SW60C80_00024,1,24,13,13,1,0
25,SW60C80_00025,2,25,9,9,0,2
26,SW60C80_00026,1,26,14,14,0,1
27,SW60C80_00027,3,27,4,5,0,3
28,SW60C80_00028,3,28,5,6,2,1
29,SW60C80_00029,1,29,13,13,0,1
30,SW60C80_00030,1,30,2,2,1,0
31,SW60C80_00031,1,31,9,9,1,0
32,SW60C80_00032,1,32,4,4,1,0
33,SW60C80_00033,1,33,5,5,1,0
34,SW60C80_00034,1,34,4,4,0,1
35,SW60C80_00035,1,35,11,11,0,1
36,SW60C80_00036,1,36,13,13,0,1
37,SW60C80_00037,1,37,12,12,0,1
38,SW60C80_00038,4,38,5,6,3,1
39,SW60C80_00039,5,40,14,14,0,5
40,SW60C80_00040,11,41,5,9,2,9
41,SW60C80_00041,1,42,9,9,0,1
42,SW60C80_00042,1,43,2,2,0,1
43,SW60C80_00043,4,44,3,3,3,1
44,SW60C80_00044,3,45,3,3,2,1
45,SW60C80_00045,1,46,11,11,0,1
46,SW60C80_00046,1,47,20,20,1,0
47,SW60C80_00047,1,48,1,1,0,1
48,SW60C80_00048,1,49,5,5,0,1
49,SW60C80_00049,1,50,7,7,0,1
50,SW60C80_00050,2,51,5,5,2,0
51,SW60C80_00051,4,52,3,3,2,2
52,SW60C80_00052,23,53,3,3,1,22
53,SW60C80_00053,1,54,15,15,0,1
54,SW60C80_00054,1,55,15,15,0,1
55,SW60C80_00055,12,56,3,3,8,4
56,SW60C80_00056,1,57,12,12,1,0
57,SW60C80_00057,1,58,9,9,1,0
58,SW60C80_00058,4,59,4,6,0,4
59,SW60C80_00059,1,60,6,6,1,0
60,SW60C80_00060,1,63,7,7,1,0
61,SW60C80_00061,1,64,13,13,1,0
62,SW60C80_00062,1,65,10,10,0,1
63,SW60C80_00063,1,66,3,3,0,1
64,SW60C80_00064,3,67,3,3,3,0
65,SW60C80_00065,2,68,9,10,0,2
66,SW60C80_00066,1,69,7,7,0,1
67,SW60C80_00067,1,70,1,1,0,1
68,SW60C80_00068,1,71,16,16,0,1
69,SW60C80_00069,1,72,6,6,1,0
70,SW60C80_00070,1,73,4,4,1,0
71,SW60C80_00071,5,74,4,5,2,3
72,SW60C80_00072,1,75,5,5,1,0
73,SW60C80_00073,1,76,15,15,1,0
74,SW60C80_00074,3,77,5,6,0,3
75,SW60C80_00075,1,78,8,8,1,0
76,SW60C80_00076,1,79,8,8,1,0
77,SW60C80_00077,6,80,3,3,5,1
78,SW60C80_00078,2,81,11,12,0,2
79,SW60C80_00079,4,82,3,3,2,2
80,SW60C80_00080,2,83,3,3,1,1
81,SW60C80_00081,1,84,9,9,0,1
82,SW60C80_00082,3,85,3,3,3,0
83,SW60C80_00083,1,86,5,5,0,1
84,SW60C80_00084,1,87,10,10,0,1
85,SW60C80_00085,38,88,3,3,18,20
86,SW60C80_00086,1,89,5,5,0,1
87,SW60C80_00087,2,90,4,5,0,2
88,SW60C80_00088,2,91,3,3,1,1
89,SW60C80_00089,1,92,5,5,0,1
90,SW60C80_00090,1,93,4,4,1,0
91,SW60C80_00091,2,95,3,3,1,1
92,SW60C80_00092,1,96,9,9,1,0
93,SW60C80_00093,1,97,5,5,1,0
94,SW60C80_00094,1,98,12,12,0,1
95,SW60C80_00095,1,99,6,6,0,1
96,SW60C80_00096,1,100,2,2,0,1
97,SW60C80_00097,1,101,3,3,1,0
98,SW60C80_00098,2,102,3,3,1,1
99,SW60C80_00099,1,103,3,3,0,1
100,SW60C80_00100,1,104,11,11,0,1
101,SW60C80_00101,1,105,9,9,1,0
102,SW60C80_00102,1,107,5,5,1,0
103,SW60C80_00103,12,108,4,7,0,12
104,SW60C80_00104,1,109,5,5,0,1
105,SW60C80_00105,1,110,3,3,1,0
106,SW60C80_00106,2,111,3,3,2,0
107,SW60C80_00107,2,112,4,5,0,2
108,SW60C80_00108,3,114,3,3,3,0
109,SW60C80_00109,1,116,5,5,1,0
110,SW60C80_00110,1,117,6,6,1,0
111,SW60C80_00111,3,118,3,3,2,1
112,SW60C80_00112,1,121,6,6,0,1
113,SW60C80_00113,1,123,4,4,1,0
114,SW60C80_00114,1,124,10,10,1,0
115,SW60C80_00115,2,125,3,3,0,2
116,SW60C80_00116,1,126,4,4,1,0
117,SW60C80_00117,1,127,2,2,0,1
118,SW60C80_00118,1,128,22,22,0,1
119,SW60C80_00119,3,129,5,6,0,3
120,SW60C80_00120,1,130,26,26,0,1
121,SW60C80_00121,1,132,10,10,1,0
122,SW60C80_00122,1,133,13,13,1,0
123,SW60C80_00123,1,135,3,3,0,1
124,SW60C80_00124,4,136,4,6,0,4
125,SW60C80_00125,1,137,10,10,0,1
126,SW60C80_00126,1,138,13,13,0,1
127,SW60C80_00127,1,139,11,11,1,0
128,SW60C80_00128,1,140,8,8,1,0
129,SW60C80_00129,2,141,4,5,0,2
130,SW60C80_00130,6,142,3,3,2,4
131,SW60C80_00131,4,143,5,6,3,1
132,SW60C80_00132,1,144,14,14,0,1
133,SW60C80_00133,1,145,10,10,0,1
134,SW60C80_00134,1,146,3,3,1,0
135,SW60C80_00135,1,147,16,16,1,0
136,SW60C80_00136,1,148,6,6,1,0
137,SW60C80_00137,1,149,12,12,1,0
138,SW60C80_00138,9,150,3,3,8,1
139,SW60C80_00139,1,152,4,4,0,1
140,SW60C80_00140,3,153,4,5,3,0
141,SW60C80_00141,1,154,8,8,1,0
142,SW60C80_00142,1,155,13,13,0,1
143,SW60C80_00143,1,156,6,6,1,0
144,SW60C80_00144,1,157,10,10,1,0
145,SW60C80_00145,1,158,5,5,1,0
