group_index,group_id,size,first_index,minimum_length,maximum_length,negative_n,positive_n
0,SW60C80_00000,1,0,11,11,0,1
1,SW60C80_00001,1,1,17,17,0,1
2,SW60C80_00002,1,2,14,14,0,1
3,SW60C80_00003,1,3,10,10,0,1
4,SW60C80_00004,1,4,17,17,1,0
5,SW60C80_00005,2,5,10,11,0,2
6,SW60C80_00006,3,6,4,4,0,3
7,SW60C80_00007,1,7,13,13,0,1
8,SW60C80_00008,1,8,12,12,0,1
9,SW60C80_00009,1,9,4,4,1,0
10,SW60C80_00010,1,10,14,14,0,1
11,SW60C80_00011,1,11,10,10,1,0
12,SW60C80_00012,3,12,3,3,3,0
13,SW60C80_00013,2,13,8,8,0,2
14,SW60C80_00014,1,14,6,6,0,1
15,SW60C80_00015,2,15,6,6,2,0
16,SW60C80_00016,1,16,2,2,1,0
17,SW60C80_00017,15,17,3,3,11,4
18,SW60C80_00018,1,18,4,4,1,0
19,SW60C80_00019,1,19,11,11,1,0
20,SW60C80_00020,1,20,5,5,0,1
21,SW60C80_00021,1,21,8,8,0,1
22,SW60C80_00022,1,22,13,13,1,0
23,SW60C80_00023,2,23,9,9,0,2
24,SW60C80_00024,1,24,14,14,0,1
25,SW60C80_00025,1,25,13,13,0,1
26,SW60C80_00026,1,26,2,2,1,0
27,SW60C80_00027,1,27,9,9,1,0
28,SW60C80_00028,1,28,4,4,1,0
29,SW60C80_00029,1,29,5,5,1,0
30,SW60C80_00030,1,30,4,4,0,1
31,SW60C80_00031,1,31,11,11,0,1
32,SW60C80_00032,1,32,13,13,0,1
33,SW60C80_00033,1,33,12,12,0,1
34,SW60C80_00034,4,34,5,6,3,1
35,SW60C80_00035,10,36,5,9,2,8
36,SW60C80_00036,1,37,9,9,0,1
37,SW60C80_00037,1,38,2,2,0,1
38,SW60C80_00038,3,39,3,3,3,0
39,SW60C80_00039,3,40,3,3,2,1
40,SW60C80_00040,1,41,11,11,0,1
41,SW60C80_00041,1,42,20,20,1,0
42,SW60C80_00042,1,43,1,1,0,1
43,SW60C80_00043,1,44,5,5,0,1
44,SW60C80_00044,1,45,7,7,0,1
45,SW60C80_00045,2,46,5,5,2,0
46,SW60C80_00046,4,47,3,3,2,2
47,SW60C80_00047,1,48,15,15,0,1
48,SW60C80_00048,1,49,15,15,0,1
49,SW60C80_00049,1,50,12,12,1,0
50,SW60C80_00050,1,51,9,9,1,0
51,SW60C80_00051,1,54,7,7,1,0
52,SW60C80_00052,1,55,13,13,1,0
53,SW60C80_00053,1,56,10,10,0,1
54,SW60C80_00054,2,57,9,10,0,2
55,SW60C80_00055,1,58,7,7,0,1
56,SW60C80_00056,1,59,1,1,0,1
57,SW60C80_00057,1,60,16,16,0,1
58,SW60C80_00058,1,61,6,6,1,0
59,SW60C80_00059,1,62,4,4,1,0
60,SW60C80_00060,5,63,4,5,2,3
61,SW60C80_00061,1,64,5,5,1,0
62,SW60C80_00062,1,65,15,15,1,0
63,SW60C80_00063,3,66,5,6,0,3
64,SW60C80_00064,1,67,8,8,1,0
65,SW60C80_00065,1,68,8,8,1,0
66,SW60C80_00066,6,69,3,3,5,1
67,SW60C80_00067,2,70,11,12,0,2
68,SW60C80_00068,2,71,3,3,1,1
69,SW60C80_00069,1,72,9,9,0,1
70,SW60C80_00070,2,73,3,3,2,0
71,SW60C80_00071,1,74,5,5,0,1
72,SW60C80_00072,1,75,10,10,0,1
73,SW60C80_00073,6,76,3,3,5,1
74,SW60C80_00074,1,77,5,5,0,1
75,SW60C80_00075,1,78,3,3,1,0
76,SW60C80_00076,1,79,4,4,1,0
77,SW60C80_00077,1,80,3,3,1,0
78,SW60C80_00078,1,81,9,9,1,0
79,SW60C80_00079,1,82,12,12,0,1
80,SW60C80_00080,1,83,6,6,0,1
81,SW60C80_00081,1,84,2,2,0,1
82,SW60C80_00082,1,85,3,3,1,0
83,SW60C80_00083,2,86,3,3,1,1
84,SW60C80_00084,1,87,3,3,0,1
85,SW60C80_00085,1,88,11,11,0,1
86,SW60C80_00086,1,89,9,9,1,0
87,SW60C80_00087,1,91,5,5,1,0
88,SW60C80_00088,1,92,6,6,0,1
89,SW60C80_00089,1,93,5,5,0,1
90,SW60C80_00090,1,94,3,3,1,0
91,SW60C80_00091,1,95,4,4,0,1
92,SW60C80_00092,3,97,3,3,3,0
93,SW60C80_00093,1,99,5,5,1,0
94,SW60C80_00094,1,100,6,6,1,0
95,SW60C80_00095,1,102,6,6,0,1
96,SW60C80_00096,1,103,4,4,1,0
97,SW60C80_00097,1,104,10,10,1,0
98,SW60C80_00098,1,105,4,4,1,0
99,SW60C80_00099,1,106,2,2,0,1
100,SW60C80_00100,1,107,22,22,0,1
101,SW60C80_00101,3,108,5,6,0,3
102,SW60C80_00102,1,109,26,26,0,1
103,SW60C80_00103,1,110,10,10,1,0
