left_index,right_index,left_id,right_id,identity,coverage,score,matches,alignment_columns
6,10,pos_6,pos_10,0.75,1.0,21,3,4
9,23,pos_9,pos_24,0.9285714285714286,1.0,64,13,14
3,24,pos_3,pos_25,0.6666666666666666,1.0,16,2,3
19,24,pos_19,pos_25,0.6666666666666666,1.0,16,2,3
13,29,pos_13,pos_31,0.6666666666666666,1.0,16,2,3
39,51,pos_43,pos_57,0.6,0.8333333333333334,18,3,5
49,63,pos_55,pos_70,0.6666666666666666,1.0,14,2,3
0,65,pos_0,pos_72,0.75,1.0,12,3,4
53,78,pos_59,pos_87,1.0,0.8,27,4,4
9,83,pos_9,pos_92,0.8571428571428571,1.0,54,12,14
23,83,pos_24,pos_92,0.7857142857142857,1.0,45,11,14
15,85,pos_15,pos_94,1.0,0.8,20,4,4
9,86,pos_9,pos_95,0.8571428571428571,1.0,62,12,14
23,86,pos_24,pos_95,0.7857142857142857,1.0,53,11,14
83,86,pos_92,pos_95,0.8571428571428571,1.0,64,12,14
49,93,pos_55,pos_102,0.6666666666666666,1.0,14,2,3
63,93,pos_70,pos_102,0.6666666666666666,1.0,13,2,3
42,119,pos_47,pos_130,0.6666666666666666,1.0,13,2,3
81,119,pos_90,pos_130,0.6666666666666666,1.0,11,2,3
37,123,pos_40,pos_134,0.6666666666666666,1.0,16,2,3
95,137,pos_105,pos_151,0.6666666666666666,1.0,13,2,3
143,144,pos_157,pos_158,0.6666666666666666,0.8571428571428571,23,4,6
97,150,pos_107,pos_164,0.6666666666666666,1.0,16,2,3
142,153,pos_156,pos_167,0.6666666666666666,1.0,12,2,3
94,157,pos_104,pos_171,0.6666666666666666,1.0,13,2,3
75,174,pos_83,pos_190,0.6666666666666666,1.0,15,2,3
164,176,pos_179,pos_192,0.6666666666666666,1.0,6,2,3
112,182,pos_123,pos_198,0.625,0.8,21,5,8
17,190,pos_17,pos_208,0.6666666666666666,1.0,9,2,3
12,193,pos_12,pos_211,0.6,0.8333333333333334,18,3,5
49,210,pos_55,pos_231,0.6666666666666666,1.0,11,2,3
63,210,pos_70,pos_231,0.6666666666666666,1.0,11,2,3
