group_index,group_id,size,first_index,minimum_length,maximum_length,negative_n,positive_n
0,SW60C80_00000,1,0,11,11,0,1
1,SW60C80_00001,1,1,17,17,0,1
2,SW60C80_00002,1,2,7,7,1,0
3,SW60C80_00003,1,3,14,14,0,1
4,SW60C80_00004,1,4,11,11,0,1
5,SW60C80_00005,1,5,10,10,0,1
6,SW60C80_00006,2,6,4,4,2,0
7,SW60C80_00007,1,7,17,17,1,0
8,SW60C80_00008,1,8,5,5,1,0
9,SW60C80_00009,1,9,13,13,0,1
10,SW60C80_00010,1,10,12,12,0,1
11,SW60C80_00011,1,11,4,4,1,0
12,SW60C80_00012,1,12,14,14,0,1
13,SW60C80_00013,1,13,10,10,1,0
14,SW60C80_00014,1,14,4,4,1,0
15,SW60C80_00015,2,15,8,8,0,2
16,SW60C80_00016,2,16,6,6,2,0
17,SW60C80_00017,1,17,2,2,1,0
18,SW60C80_00018,2,18,3,3,2,0
19,SW60C80_00019,3,19,3,4,2,1
20,SW60C80_00020,1,20,5,5,0,1
21,SW60C80_00021,1,21,8,8,0,1
22,SW60C80_00022,1,22,13,13,1,0
23,SW60C80_00023,1,23,5,5,0,1
24,SW60C80_00024,2,24,9,9,0,2
25,SW60C80_00025,1,25,14,14,0,1
26,SW60C80_00026,4,26,4,5,0,4
27,SW60C80_00027,1,27,13,13,0,1
28,SW60C80_00028,1,28,2,2,1,0
29,SW60C80_00029,1,29,9,9,1,0
30,SW60C80_00030,1,30,4,4,1,0
31,SW60C80_00031,1,31,5,5,1,0
32,SW60C80_00032,1,32,4,4,0,1
33,SW60C80_00033,1,33,11,11,0,1
34,SW60C80_00034,1,34,12,12,0,1
35,SW60C80_00035,1,35,6,6,0,1
36,SW60C80_00036,3,36,8,9,0,3
37,SW60C80_00037,1,37,9,9,0,1
38,SW60C80_00038,1,38,2,2,0,1
39,SW60C80_00039,2,39,3,3,1,1
40,SW60C80_00040,1,40,11,11,0,1
41,SW60C80_00041,1,41,20,20,1,0
42,SW60C80_00042,1,42,1,1,0,1
43,SW60C80_00043,1,43,7,7,0,1
44,SW60C80_00044,4,44,3,3,2,2
45,SW60C80_00045,7,45,3,3,7,0
46,SW60C80_00046,3,46,3,3,0,3
47,SW60C80_00047,3,47,3,3,2,1
48,SW60C80_00048,1,48,12,12,1,0
49,SW60C80_00049,1,49,12,12,1,0
50,SW60C80_00050,1,50,9,9,1,0
51,SW60C80_00051,1,51,4,4,0,1
52,SW60C80_00052,2,52,5,6,1,1
53,SW60C80_00053,1,53,13,13,0,1
54,SW60C80_00054,1,54,7,7,1,0
55,SW60C80_00055,2,55,3,3,2,0
56,SW60C80_00056,1,56,10,10,0,1
57,SW60C80_00057,1,57,3,3,0,1
58,SW60C80_00058,1,58,4,4,1,0
59,SW60C80_00059,2,59,9,10,0,2
60,SW60C80_00060,1,60,7,7,0,1
61,SW60C80_00061,1,61,1,1,0,1
62,SW60C80_00062,1,62,16,16,0,1
63,SW60C80_00063,1,63,6,6,1,0
64,SW60C80_00064,1,64,4,4,1,0
65,SW60C80_00065,1,65,7,7,1,0
66,SW60C80_00066,1,66,5,5,1,0
67,SW60C80_00067,1,67,8,8,1,0
68,SW60C80_00068,1,68,8,8,1,0
69,SW60C80_00069,2,69,11,12,0,2
70,SW60C80_00070,12,70,3,3,5,7
71,SW60C80_00071,1,71,9,9,0,1
72,SW60C80_00072,1,72,5,5,0,1
73,SW60C80_00073,1,73,9,9,1,0
74,SW60C80_00074,1,74,5,5,0,1
75,SW60C80_00075,1,75,4,4,0,1
76,SW60C80_00076,1,76,3,3,1,0
77,SW60C80_00077,1,77,5,5,0,1
78,SW60C80_00078,1,78,11,11,0,1
79,SW60C80_00079,3,80,4,5,2,1
80,SW60C80_00080,1,81,6,6,0,1
81,SW60C80_00081,1,82,2,2,0,1
82,SW60C80_00082,2,83,3,3,1,1
83,SW60C80_00083,1,84,11,11,0,1
84,SW60C80_00084,1,85,9,9,1,0
85,SW60C80_00085,1,86,5,5,1,0
86,SW60C80_00086,1,87,6,6,0,1
87,SW60C80_00087,1,88,5,5,0,1
88,SW60C80_00088,1,89,3,3,1,0
89,SW60C80_00089,4,90,3,3,4,0
90,SW60C80_00090,1,91,4,4,0,1
91,SW60C80_00091,2,92,5,5,1,1
92,SW60C80_00092,4,93,3,3,4,0
93,SW60C80_00093,1,94,5,5,1,0
94,SW60C80_00094,1,95,6,6,1,0
95,SW60C80_00095,2,96,3,3,2,0
96,SW60C80_00096,6,97,3,3,3,3
97,SW60C80_00097,1,98,7,7,1,0
98,SW60C80_00098,1,99,6,6,0,1
99,SW60C80_00099,1,100,4,4,1,0
100,SW60C80_00100,1,101,10,10,1,0
101,SW60C80_00101,1,102,4,4,1,0
102,SW60C80_00102,1,103,2,2,0,1
103,SW60C80_00103,1,104,22,22,0,1
